Categoría: Todas las categorías

Día,Fe: (Austria)
2018-12-30,85
2018-12-31,0
2019-01-01,87
2019-01-02,41
2019-01-03,42
2019-01-04,55
2019-01-05,80
2019-01-06,74
2019-01-07,59
2019-01-08,52
2019-01-09,70
2019-01-10,85
2019-01-11,63
2019-01-12,62
2019-01-13,63
2019-01-14,97
2019-01-15,45
2019-01-16,0
2019-01-17,38
2019-01-18,38
2019-01-19,52
2019-01-20,58
2019-01-21,87
2019-01-22,42
2019-01-23,36
2019-01-24,53
2019-01-25,51
2019-01-26,61
2019-01-27,71
2019-01-28,47
2019-01-29,67
2019-01-30,68
2019-01-31,40
2019-02-01,58
2019-02-02,57
2019-02-03,77
2019-02-04,59
2019-02-05,0
2019-02-06,0
2019-02-07,68
2019-02-08,53
2019-02-09,74
2019-02-10,50
2019-02-11,56
2019-02-12,51
2019-02-13,56
2019-02-14,54
2019-02-15,82
2019-02-16,66
2019-02-17,79
2019-02-18,51
2019-02-19,72
2019-02-20,87
2019-02-21,50
2019-02-22,75
2019-02-23,65
2019-02-24,42
2019-02-25,53
2019-02-26,71
2019-02-27,58
2019-02-28,84
2019-03-01,73
2019-03-02,59
2019-03-03,68
2019-03-04,55
2019-03-05,81
2019-03-06,46
2019-03-07,48
2019-03-08,70
2019-03-09,51
2019-03-10,67
2019-03-11,58
2019-03-12,69
2019-03-13,76
2019-03-14,59
2019-03-15,39
2019-03-16,52
2019-03-17,0
2019-03-18,74
2019-03-19,57
2019-03-20,44
2019-03-21,55
2019-03-22,45
2019-03-23,80
2019-03-24,54
2019-03-25,48
2019-03-26,66
2019-03-27,86
2019-03-28,62
2019-03-29,67
2019-03-30,100
2019-03-31,58
2019-04-01,57
2019-04-02,37
2019-04-03,58
2019-04-04,45
2019-04-05,66
2019-04-06,75
2019-04-07,70
2019-04-08,50
2019-04-09,67
2019-04-10,0
