Categoría: Todas las categorías

Día,Fe: (Francia)
2018-12-30,66
2018-12-31,64
2019-01-01,68
2019-01-02,65
2019-01-03,65
2019-01-04,80
2019-01-05,70
2019-01-06,100
2019-01-07,73
2019-01-08,70
2019-01-09,63
2019-01-10,72
2019-01-11,81
2019-01-12,84
2019-01-13,69
2019-01-14,66
2019-01-15,65
2019-01-16,69
2019-01-17,74
2019-01-18,60
2019-01-19,55
2019-01-20,63
2019-01-21,60
2019-01-22,64
2019-01-23,55
2019-01-24,64
2019-01-25,68
2019-01-26,55
2019-01-27,62
2019-01-28,65
2019-01-29,58
2019-01-30,62
2019-01-31,64
2019-02-01,62
2019-02-02,55
2019-02-03,58
2019-02-04,47
2019-02-05,59
2019-02-06,66
2019-02-07,68
2019-02-08,58
2019-02-09,53
2019-02-10,63
2019-02-11,64
2019-02-12,59
2019-02-13,55
2019-02-14,60
2019-02-15,62
2019-02-16,71
2019-02-17,66
2019-02-18,62
2019-02-19,61
2019-02-20,73
2019-02-21,62
2019-02-22,58
2019-02-23,50
2019-02-24,63
2019-02-25,66
2019-02-26,63
2019-02-27,56
2019-02-28,71
2019-03-01,71
2019-03-02,63
2019-03-03,60
2019-03-04,65
2019-03-05,59
2019-03-06,64
2019-03-07,66
2019-03-08,67
2019-03-09,59
2019-03-10,73
2019-03-11,67
2019-03-12,61
2019-03-13,70
2019-03-14,71
2019-03-15,57
2019-03-16,57
2019-03-17,74
2019-03-18,78
2019-03-19,77
2019-03-20,72
2019-03-21,52
2019-03-22,68
2019-03-23,61
2019-03-24,58
2019-03-25,70
2019-03-26,71
2019-03-27,60
2019-03-28,71
2019-03-29,67
2019-03-30,52
2019-03-31,61
2019-04-01,65
2019-04-02,57
2019-04-03,75
2019-04-04,64
2019-04-05,65
2019-04-06,61
2019-04-07,59
2019-04-08,73
2019-04-09,69
2019-04-10,60
