Categoría: Todas las categorías

Día,Fe: (Alemania)
2018-12-30,91
2018-12-31,91
2019-01-01,79
2019-01-02,57
2019-01-03,66
2019-01-04,69
2019-01-05,70
2019-01-06,100
2019-01-07,76
2019-01-08,70
2019-01-09,75
2019-01-10,76
2019-01-11,71
2019-01-12,90
2019-01-13,91
2019-01-14,71
2019-01-15,73
2019-01-16,70
2019-01-17,78
2019-01-18,59
2019-01-19,73
2019-01-20,89
2019-01-21,62
2019-01-22,78
2019-01-23,73
2019-01-24,70
2019-01-25,63
2019-01-26,75
2019-01-27,83
2019-01-28,68
2019-01-29,68
2019-01-30,75
2019-01-31,64
2019-02-01,64
2019-02-02,70
2019-02-03,80
2019-02-04,70
2019-02-05,71
2019-02-06,74
2019-02-07,74
2019-02-08,71
2019-02-09,78
2019-02-10,80
2019-02-11,69
2019-02-12,75
2019-02-13,67
2019-02-14,63
2019-02-15,57
2019-02-16,62
2019-02-17,76
2019-02-18,66
2019-02-19,73
2019-02-20,73
2019-02-21,78
2019-02-22,79
2019-02-23,73
2019-02-24,92
2019-02-25,59
2019-02-26,69
2019-02-27,70
2019-02-28,66
2019-03-01,66
2019-03-02,59
2019-03-03,77
2019-03-04,60
2019-03-05,64
2019-03-06,69
2019-03-07,73
2019-03-08,70
2019-03-09,75
2019-03-10,75
2019-03-11,68
2019-03-12,79
2019-03-13,67
2019-03-14,72
2019-03-15,79
2019-03-16,69
2019-03-17,81
2019-03-18,72
2019-03-19,80
2019-03-20,64
2019-03-21,69
2019-03-22,71
2019-03-23,80
2019-03-24,70
2019-03-25,65
2019-03-26,70
2019-03-27,67
2019-03-28,69
2019-03-29,68
2019-03-30,68
2019-03-31,84
2019-04-01,58
2019-04-02,74
2019-04-03,73
2019-04-04,77
2019-04-05,71
2019-04-06,77
2019-04-07,82
2019-04-08,66
2019-04-09,61
2019-04-10,65
