Categoría: Todas las categorías

Día,Fe: (Italia)
2018-12-30,80
2018-12-31,94
2019-01-01,91
2019-01-02,87
2019-01-03,77
2019-01-04,67
2019-01-05,65
2019-01-06,91
2019-01-07,82
2019-01-08,69
2019-01-09,73
2019-01-10,90
2019-01-11,68
2019-01-12,83
2019-01-13,79
2019-01-14,94
2019-01-15,78
2019-01-16,67
2019-01-17,79
2019-01-18,73
2019-01-19,74
2019-01-20,88
2019-01-21,78
2019-01-22,76
2019-01-23,80
2019-01-24,76
2019-01-25,72
2019-01-26,72
2019-01-27,82
2019-01-28,78
2019-01-29,77
2019-01-30,75
2019-01-31,79
2019-02-01,63
2019-02-02,76
2019-02-03,72
2019-02-04,87
2019-02-05,79
2019-02-06,78
2019-02-07,82
2019-02-08,80
2019-02-09,86
2019-02-10,72
2019-02-11,72
2019-02-12,80
2019-02-13,100
2019-02-14,68
2019-02-15,68
2019-02-16,66
2019-02-17,70
2019-02-18,98
2019-02-19,92
2019-02-20,72
2019-02-21,71
2019-02-22,81
2019-02-23,79
2019-02-24,79
2019-02-25,76
2019-02-26,58
2019-02-27,67
2019-02-28,65
2019-03-01,60
2019-03-02,68
2019-03-03,78
2019-03-04,68
2019-03-05,68
2019-03-06,74
2019-03-07,73
2019-03-08,74
2019-03-09,57
2019-03-10,70
2019-03-11,73
2019-03-12,54
2019-03-13,79
2019-03-14,76
2019-03-15,66
2019-03-16,85
2019-03-17,73
2019-03-18,86
2019-03-19,74
2019-03-20,76
2019-03-21,80
2019-03-22,75
2019-03-23,81
2019-03-24,84
2019-03-25,78
2019-03-26,66
2019-03-27,84
2019-03-28,89
2019-03-29,56
2019-03-30,75
2019-03-31,73
2019-04-01,72
2019-04-02,80
2019-04-03,80
2019-04-04,65
2019-04-05,67
2019-04-06,79
2019-04-07,76
2019-04-08,57
2019-04-09,69
2019-04-10,87
