Categoría: Todas las categorías

Día,Fe: (España)
2018-12-30,58
2018-12-31,67
2019-01-01,70
2019-01-02,58
2019-01-03,63
2019-01-04,62
2019-01-05,49
2019-01-06,58
2019-01-07,57
2019-01-08,69
2019-01-09,70
2019-01-10,59
2019-01-11,73
2019-01-12,67
2019-01-13,62
2019-01-14,61
2019-01-15,65
2019-01-16,66
2019-01-17,68
2019-01-18,59
2019-01-19,57
2019-01-20,60
2019-01-21,55
2019-01-22,60
2019-01-23,65
2019-01-24,63
2019-01-25,53
2019-01-26,60
2019-01-27,67
2019-01-28,70
2019-01-29,67
2019-01-30,77
2019-01-31,60
2019-02-01,63
2019-02-02,48
2019-02-03,50
2019-02-04,64
2019-02-05,68
2019-02-06,70
2019-02-07,72
2019-02-08,79
2019-02-09,75
2019-02-10,69
2019-02-11,69
2019-02-12,70
2019-02-13,78
2019-02-14,63
2019-02-15,65
2019-02-16,71
2019-02-17,65
2019-02-18,66
2019-02-19,66
2019-02-20,70
2019-02-21,100
2019-02-22,71
2019-02-23,64
2019-02-24,74
2019-02-25,65
2019-02-26,65
2019-02-27,67
2019-02-28,63
2019-03-01,62
2019-03-02,60
2019-03-03,62
2019-03-04,69
2019-03-05,66
2019-03-06,69
2019-03-07,66
2019-03-08,74
2019-03-09,68
2019-03-10,63
2019-03-11,60
2019-03-12,59
2019-03-13,58
2019-03-14,60
2019-03-15,56
2019-03-16,57
2019-03-17,55
2019-03-18,57
2019-03-19,66
2019-03-20,60
2019-03-21,66
2019-03-22,59
2019-03-23,66
2019-03-24,62
2019-03-25,66
2019-03-26,67
2019-03-27,63
2019-03-28,60
2019-03-29,53
2019-03-30,66
2019-03-31,55
2019-04-01,61
2019-04-02,60
2019-04-03,46
2019-04-04,62
2019-04-05,55
2019-04-06,53
2019-04-07,70
2019-04-08,53
2019-04-09,59
2019-04-10,66
