Categoría: Todas las categorías

Día,Fe: (Reino Unido)
2019-12-30,68
2019-12-31,61
2020-01-01,61
2020-01-02,59
2020-01-03,63
2020-01-04,51
2020-01-05,64
2020-01-06,66
2020-01-07,62
2020-01-08,67
2020-01-09,77
2020-01-10,56
2020-01-11,67
2020-01-12,68
2020-01-13,69
2020-01-14,70
2020-01-15,61
2020-01-16,62
2020-01-17,57
2020-01-18,70
2020-01-19,64
2020-01-20,80
2020-01-21,77
2020-01-22,68
2020-01-23,61
2020-01-24,69
2020-01-25,62
2020-01-26,63
2020-01-27,61
2020-01-28,58
2020-01-29,57
2020-01-30,51
2020-01-31,51
2020-02-01,49
2020-02-02,74
2020-02-03,60
2020-02-04,62
2020-02-05,63
2020-02-06,60
2020-02-07,68
2020-02-08,57
2020-02-09,71
2020-02-10,56
2020-02-11,61
2020-02-12,58
2020-02-13,60
2020-02-14,100
2020-02-15,65
2020-02-16,67
2020-02-17,50
2020-02-18,52
2020-02-19,59
2020-02-20,60
2020-02-21,54
2020-02-22,53
2020-02-23,64
2020-02-24,55
2020-02-25,68
2020-02-26,64
2020-02-27,68
2020-02-28,76
2020-02-29,64
2020-03-01,67
2020-03-02,62
2020-03-03,60
2020-03-04,76
2020-03-05,65
2020-03-06,61
2020-03-07,54
2020-03-08,75
2020-03-09,77
2020-03-10,61
2020-03-11,65
2020-03-12,54
2020-03-13,57
2020-03-14,59
2020-03-15,67
2020-03-16,58
2020-03-17,71
2020-03-18,65
2020-03-19,65
2020-03-20,73
2020-03-21,61
2020-03-22,79
2020-03-23,79
2020-03-24,82
2020-03-25,55
2020-03-26,75
2020-03-27,67
2020-03-28,70
2020-03-29,59
2020-03-30,62
2020-03-31,57
2020-04-01,81
2020-04-02,73
2020-04-03,70
2020-04-04,64
2020-04-05,77
2020-04-06,63
2020-04-07,64
