Categoría: Todas las categorías

Día,Fe: (Países Bajos)
2019-12-30,41
2019-12-31,49
2020-01-01,80
2020-01-02,44
2020-01-03,50
2020-01-04,52
2020-01-05,45
2020-01-06,61
2020-01-07,59
2020-01-08,54
2020-01-09,77
2020-01-10,52
2020-01-11,41
2020-01-12,69
2020-01-13,69
2020-01-14,63
2020-01-15,51
2020-01-16,25
2020-01-17,49
2020-01-18,56
2020-01-19,42
2020-01-20,69
2020-01-21,52
2020-01-22,46
2020-01-23,53
2020-01-24,36
2020-01-25,41
2020-01-26,42
2020-01-27,47
2020-01-28,65
2020-01-29,53
2020-01-30,38
2020-01-31,58
2020-02-01,63
2020-02-02,50
2020-02-03,47
2020-02-04,56
2020-02-05,61
2020-02-06,56
2020-02-07,55
2020-02-08,41
2020-02-09,56
2020-02-10,48
2020-02-11,55
2020-02-12,51
2020-02-13,40
2020-02-14,57
2020-02-15,39
2020-02-16,52
2020-02-17,57
2020-02-18,62
2020-02-19,69
2020-02-20,44
2020-02-21,60
2020-02-22,55
2020-02-23,38
2020-02-24,68
2020-02-25,60
2020-02-26,32
2020-02-27,45
2020-02-28,47
2020-02-29,58
2020-03-01,59
2020-03-02,61
2020-03-03,58
2020-03-04,49
2020-03-05,85
2020-03-06,50
2020-03-07,54
2020-03-08,61
2020-03-09,46
2020-03-10,51
2020-03-11,60
2020-03-12,50
2020-03-13,39
2020-03-14,53
2020-03-15,60
2020-03-16,70
2020-03-17,49
2020-03-18,53
2020-03-19,80
2020-03-20,65
2020-03-21,92
2020-03-22,83
2020-03-23,91
2020-03-24,73
2020-03-25,51
2020-03-26,81
2020-03-27,76
2020-03-28,62
2020-03-29,52
2020-03-30,77
2020-03-31,60
2020-04-01,100
2020-04-02,68
2020-04-03,72
2020-04-04,63
2020-04-05,90
2020-04-06,64
2020-04-07,55
