Categoría: Todas las categorías

Semana,Fe: (Austria)
2018-12-30,80
2019-01-06,80
2019-01-13,71
2019-01-20,81
2019-01-27,78
2019-02-03,75
2019-02-10,78
2019-02-17,98
2019-02-24,87
2019-03-03,76
2019-03-10,79
2019-03-17,74
2019-03-24,92
2019-03-31,74
2019-04-07,77
2019-04-14,81
2019-04-21,91
2019-04-28,64
2019-05-05,81
2019-05-12,83
2019-05-19,84
2019-05-26,78
2019-06-02,76
2019-06-09,77
2019-06-16,79
2019-06-23,77
2019-06-30,67
2019-07-07,70
2019-07-14,73
2019-07-21,83
2019-07-28,76
2019-08-04,60
2019-08-11,72
2019-08-18,71
2019-08-25,67
2019-09-01,57
2019-09-08,70
2019-09-15,71
2019-09-22,69
2019-09-29,83
2019-10-06,86
2019-10-13,87
2019-10-20,86
2019-10-27,63
2019-11-03,91
2019-11-10,75
2019-11-17,98
2019-11-24,76
2019-12-01,87
2019-12-08,79
2019-12-15,77
2019-12-22,91
2019-12-29,82
2020-01-05,100
2020-01-12,96
2020-01-19,93
2020-01-26,77
2020-02-02,87
2020-02-09,69
2020-02-16,68
2020-02-23,80
2020-03-01,73
2020-03-08,68
2020-03-15,89
2020-03-22,96
2020-03-29,90
2020-04-05,95
