Categoría: Todas las categorías

Semana,Fe: (Francia)
2018-12-30,70
2019-01-06,77
2019-01-13,64
2019-01-20,61
2019-01-27,62
2019-02-03,59
2019-02-10,60
2019-02-17,62
2019-02-24,63
2019-03-03,63
2019-03-10,64
2019-03-17,70
2019-03-24,63
2019-03-31,62
2019-04-07,64
2019-04-14,62
2019-04-21,60
2019-04-28,66
2019-05-05,72
2019-05-12,81
2019-05-19,96
2019-05-26,100
2019-06-02,70
2019-06-09,69
2019-06-16,70
2019-06-23,61
2019-06-30,55
2019-07-07,48
2019-07-14,54
2019-07-21,48
2019-07-28,48
2019-08-04,46
2019-08-11,46
2019-08-18,48
2019-08-25,47
2019-09-01,55
2019-09-08,55
2019-09-15,65
2019-09-22,63
2019-09-29,71
2019-10-06,72
2019-10-13,60
2019-10-20,62
2019-10-27,61
2019-11-03,63
2019-11-10,58
2019-11-17,63
2019-11-24,62
2019-12-01,56
2019-12-08,59
2019-12-15,61
2019-12-22,56
2019-12-29,64
2020-01-05,60
2020-01-12,70
2020-01-19,69
2020-01-26,73
2020-02-02,78
2020-02-09,77
2020-02-16,85
2020-02-23,86
2020-03-01,78
2020-03-08,75
2020-03-15,64
2020-03-22,77
2020-03-29,75
2020-04-05,76
