Categoría: Todas las categorías

Día,Dios: (Bélgica)
2018-12-30,77
2018-12-31,83
2019-01-01,82
2019-01-02,55
2019-01-03,66
2019-01-04,65
2019-01-05,77
2019-01-06,74
2019-01-07,74
2019-01-08,68
2019-01-09,53
2019-01-10,66
2019-01-11,94
2019-01-12,99
2019-01-13,100
2019-01-14,80
2019-01-15,71
2019-01-16,60
2019-01-17,73
2019-01-18,71
2019-01-19,77
2019-01-20,68
2019-01-21,50
2019-01-22,71
2019-01-23,57
2019-01-24,60
2019-01-25,84
2019-01-26,71
2019-01-27,78
2019-01-28,68
2019-01-29,55
2019-01-30,59
2019-01-31,75
2019-02-01,61
2019-02-02,75
2019-02-03,78
2019-02-04,55
2019-02-05,61
2019-02-06,67
2019-02-07,69
2019-02-08,67
2019-02-09,85
2019-02-10,70
2019-02-11,65
2019-02-12,43
2019-02-13,67
2019-02-14,87
2019-02-15,74
2019-02-16,89
2019-02-17,95
2019-02-18,62
2019-02-19,66
2019-02-20,54
2019-02-21,59
2019-02-22,65
2019-02-23,69
2019-02-24,82
2019-02-25,64
2019-02-26,71
2019-02-27,54
2019-02-28,52
2019-03-01,63
2019-03-02,64
2019-03-03,76
2019-03-04,66
2019-03-05,59
2019-03-06,61
2019-03-07,52
2019-03-08,70
2019-03-09,54
2019-03-10,89
2019-03-11,61
2019-03-12,65
2019-03-13,58
2019-03-14,64
2019-03-15,70
2019-03-16,72
2019-03-17,88
2019-03-18,51
2019-03-19,65
2019-03-20,59
2019-03-21,63
2019-03-22,72
2019-03-23,53
2019-03-24,87
2019-03-25,60
2019-03-26,50
2019-03-27,55
2019-03-28,70
2019-03-29,60
2019-03-30,68
2019-03-31,87
2019-04-01,55
2019-04-02,66
2019-04-03,50
2019-04-04,49
2019-04-05,52
2019-04-06,82
2019-04-07,65
2019-04-08,66
2019-04-09,53
2019-04-10,60
