Categoría: Todas las categorías

Día,Dios: (Austria)
2019-12-30,57
2019-12-31,63
2020-01-01,69
2020-01-02,48
2020-01-03,51
2020-01-04,74
2020-01-05,61
2020-01-06,77
2020-01-07,52
2020-01-08,65
2020-01-09,46
2020-01-10,63
2020-01-11,75
2020-01-12,65
2020-01-13,59
2020-01-14,61
2020-01-15,61
2020-01-16,66
2020-01-17,78
2020-01-18,75
2020-01-19,65
2020-01-20,59
2020-01-21,63
2020-01-22,59
2020-01-23,66
2020-01-24,57
2020-01-25,73
2020-01-26,66
2020-01-27,57
2020-01-28,50
2020-01-29,53
2020-01-30,52
2020-01-31,69
2020-02-01,72
2020-02-02,66
2020-02-03,50
2020-02-04,54
2020-02-05,54
2020-02-06,53
2020-02-07,57
2020-02-08,71
2020-02-09,76
2020-02-10,66
2020-02-11,61
2020-02-12,72
2020-02-13,62
2020-02-14,64
2020-02-15,66
2020-02-16,63
2020-02-17,79
2020-02-18,66
2020-02-19,62
2020-02-20,60
2020-02-21,61
2020-02-22,68
2020-02-23,75
2020-02-24,57
2020-02-25,58
2020-02-26,51
2020-02-27,72
2020-02-28,55
2020-02-29,77
2020-03-01,70
2020-03-02,54
2020-03-03,65
2020-03-04,58
2020-03-05,70
2020-03-06,63
2020-03-07,56
2020-03-08,77
2020-03-09,59
2020-03-10,60
2020-03-11,62
2020-03-12,42
2020-03-13,45
2020-03-14,68
2020-03-15,60
2020-03-16,60
2020-03-17,72
2020-03-18,70
2020-03-19,78
2020-03-20,68
2020-03-21,87
2020-03-22,87
2020-03-23,80
2020-03-24,82
2020-03-25,71
2020-03-26,81
2020-03-27,79
2020-03-28,80
2020-03-29,71
2020-03-30,82
2020-03-31,85
2020-04-01,76
2020-04-02,75
2020-04-03,65
2020-04-04,73
2020-04-05,100
2020-04-06,69
2020-04-07,65
