Categoría: Todas las categorías

Día,Dios: (Alemania)
2019-12-30,68
2019-12-31,95
2020-01-01,83
2020-01-02,70
2020-01-03,70
2020-01-04,75
2020-01-05,74
2020-01-06,64
2020-01-07,63
2020-01-08,65
2020-01-09,65
2020-01-10,71
2020-01-11,82
2020-01-12,84
2020-01-13,70
2020-01-14,73
2020-01-15,77
2020-01-16,68
2020-01-17,68
2020-01-18,75
2020-01-19,87
2020-01-20,68
2020-01-21,64
2020-01-22,75
2020-01-23,73
2020-01-24,76
2020-01-25,79
2020-01-26,89
2020-01-27,68
2020-01-28,72
2020-01-29,66
2020-01-30,71
2020-01-31,70
2020-02-01,75
2020-02-02,84
2020-02-03,77
2020-02-04,70
2020-02-05,74
2020-02-06,73
2020-02-07,73
2020-02-08,79
2020-02-09,80
2020-02-10,64
2020-02-11,67
2020-02-12,74
2020-02-13,77
2020-02-14,72
2020-02-15,80
2020-02-16,85
2020-02-17,71
2020-02-18,73
2020-02-19,73
2020-02-20,68
2020-02-21,74
2020-02-22,77
2020-02-23,75
2020-02-24,63
2020-02-25,67
2020-02-26,65
2020-02-27,74
2020-02-28,70
2020-02-29,76
2020-03-01,94
2020-03-02,68
2020-03-03,68
2020-03-04,66
2020-03-05,72
2020-03-06,68
2020-03-07,83
2020-03-08,85
2020-03-09,67
2020-03-10,71
2020-03-11,73
2020-03-12,65
2020-03-13,63
2020-03-14,73
2020-03-15,80
2020-03-16,57
2020-03-17,61
2020-03-18,68
2020-03-19,77
2020-03-20,79
2020-03-21,94
2020-03-22,100
2020-03-23,82
2020-03-24,82
2020-03-25,81
2020-03-26,88
2020-03-27,89
2020-03-28,90
2020-03-29,100
2020-03-30,76
2020-03-31,77
2020-04-01,80
2020-04-02,79
2020-04-03,77
2020-04-04,87
2020-04-05,96
2020-04-06,72
2020-04-07,77
