Categoría: Todas las categorías

Día,Dios: (Irlanda)
2019-12-30,63
2019-12-31,60
2020-01-01,61
2020-01-02,55
2020-01-03,49
2020-01-04,64
2020-01-05,67
2020-01-06,54
2020-01-07,54
2020-01-08,54
2020-01-09,57
2020-01-10,66
2020-01-11,70
2020-01-12,62
2020-01-13,61
2020-01-14,60
2020-01-15,61
2020-01-16,78
2020-01-17,56
2020-01-18,76
2020-01-19,77
2020-01-20,50
2020-01-21,65
2020-01-22,65
2020-01-23,64
2020-01-24,63
2020-01-25,76
2020-01-26,62
2020-01-27,69
2020-01-28,69
2020-01-29,62
2020-01-30,69
2020-01-31,67
2020-02-01,80
2020-02-02,79
2020-02-03,53
2020-02-04,48
2020-02-05,60
2020-02-06,66
2020-02-07,61
2020-02-08,47
2020-02-09,53
2020-02-10,44
2020-02-11,54
2020-02-12,84
2020-02-13,64
2020-02-14,74
2020-02-15,53
2020-02-16,62
2020-02-17,62
2020-02-18,60
2020-02-19,60
2020-02-20,50
2020-02-21,61
2020-02-22,65
2020-02-23,77
2020-02-24,55
2020-02-25,57
2020-02-26,54
2020-02-27,72
2020-02-28,57
2020-02-29,68
2020-03-01,63
2020-03-02,61
2020-03-03,63
2020-03-04,65
2020-03-05,64
2020-03-06,61
2020-03-07,59
2020-03-08,78
2020-03-09,54
2020-03-10,43
2020-03-11,59
2020-03-12,66
2020-03-13,64
2020-03-14,78
2020-03-15,77
2020-03-16,54
2020-03-17,68
2020-03-18,68
2020-03-19,68
2020-03-20,73
2020-03-21,74
2020-03-22,98
2020-03-23,67
2020-03-24,75
2020-03-25,65
2020-03-26,68
2020-03-27,80
2020-03-28,71
2020-03-29,100
2020-03-30,64
2020-03-31,64
2020-04-01,70
2020-04-02,96
2020-04-03,67
2020-04-04,72
2020-04-05,79
2020-04-06,70
2020-04-07,79
