Categoría: Todas las categorías

Día,Meditación: (Austria)
2018-12-30,68
2018-12-31,50
2019-01-01,63
2019-01-02,37
2019-01-03,74
2019-01-04,58
2019-01-05,51
2019-01-06,62
2019-01-07,51
2019-01-08,52
2019-01-09,59
2019-01-10,62
2019-01-11,51
2019-01-12,50
2019-01-13,45
2019-01-14,33
2019-01-15,54
2019-01-16,61
2019-01-17,58
2019-01-18,55
2019-01-19,45
2019-01-20,78
2019-01-21,83
2019-01-22,49
2019-01-23,48
2019-01-24,76
2019-01-25,53
2019-01-26,39
2019-01-27,69
2019-01-28,58
2019-01-29,56
2019-01-30,54
2019-01-31,50
2019-02-01,58
2019-02-02,48
2019-02-03,70
2019-02-04,83
2019-02-05,75
2019-02-06,45
2019-02-07,42
2019-02-08,52
2019-02-09,58
2019-02-10,67
2019-02-11,59
2019-02-12,68
2019-02-13,51
2019-02-14,36
2019-02-15,38
2019-02-16,65
2019-02-17,82
2019-02-18,42
2019-02-19,63
2019-02-20,60
2019-02-21,55
2019-02-22,53
2019-02-23,57
2019-02-24,56
2019-02-25,59
2019-02-26,51
2019-02-27,51
2019-02-28,55
2019-03-01,41
2019-03-02,54
2019-03-03,66
2019-03-04,57
2019-03-05,64
2019-03-06,56
2019-03-07,58
2019-03-08,53
2019-03-09,88
2019-03-10,54
2019-03-11,49
2019-03-12,68
2019-03-13,49
2019-03-14,59
2019-03-15,40
2019-03-16,43
2019-03-17,76
2019-03-18,51
2019-03-19,60
2019-03-20,63
2019-03-21,42
2019-03-22,46
2019-03-23,61
2019-03-24,51
2019-03-25,54
2019-03-26,66
2019-03-27,70
2019-03-28,43
2019-03-29,45
2019-03-30,55
2019-03-31,100
2019-04-01,47
2019-04-02,52
2019-04-03,35
2019-04-04,44
2019-04-05,33
2019-04-06,59
2019-04-07,60
2019-04-08,47
2019-04-09,57
2019-04-10,52
