Categoría: Todas las categorías

Día,Meditación: (Alemania)
2019-12-30,69
2019-12-31,65
2020-01-01,72
2020-01-02,73
2020-01-03,72
2020-01-04,72
2020-01-05,91
2020-01-06,78
2020-01-07,76
2020-01-08,76
2020-01-09,75
2020-01-10,67
2020-01-11,71
2020-01-12,84
2020-01-13,69
2020-01-14,69
2020-01-15,71
2020-01-16,66
2020-01-17,69
2020-01-18,65
2020-01-19,84
2020-01-20,70
2020-01-21,70
2020-01-22,69
2020-01-23,68
2020-01-24,62
2020-01-25,68
2020-01-26,87
2020-01-27,73
2020-01-28,67
2020-01-29,67
2020-01-30,63
2020-01-31,63
2020-02-01,59
2020-02-02,79
2020-02-03,71
2020-02-04,69
2020-02-05,71
2020-02-06,67
2020-02-07,57
2020-02-08,64
2020-02-09,71
2020-02-10,59
2020-02-11,71
2020-02-12,70
2020-02-13,64
2020-02-14,67
2020-02-15,59
2020-02-16,77
2020-02-17,71
2020-02-18,68
2020-02-19,67
2020-02-20,74
2020-02-21,58
2020-02-22,70
2020-02-23,72
2020-02-24,65
2020-02-25,63
2020-02-26,62
2020-02-27,62
2020-02-28,51
2020-02-29,59
2020-03-01,71
2020-03-02,62
2020-03-03,66
2020-03-04,61
2020-03-05,66
2020-03-06,65
2020-03-07,65
2020-03-08,71
2020-03-09,68
2020-03-10,61
2020-03-11,52
2020-03-12,52
2020-03-13,42
2020-03-14,50
2020-03-15,56
2020-03-16,49
2020-03-17,49
2020-03-18,47
2020-03-19,61
2020-03-20,61
2020-03-21,68
2020-03-22,72
2020-03-23,64
2020-03-24,63
2020-03-25,65
2020-03-26,68
2020-03-27,68
2020-03-28,64
2020-03-29,80
2020-03-30,73
2020-03-31,63
2020-04-01,65
2020-04-02,66
2020-04-03,68
2020-04-04,100
2020-04-05,89
2020-04-06,66
2020-04-07,74
