Categoría: Todas las categorías

Día,Meditación: (Portugal)
2019-12-30,40
2019-12-31,46
2020-01-01,61
2020-01-02,57
2020-01-03,57
2020-01-04,52
2020-01-05,71
2020-01-06,54
2020-01-07,57
2020-01-08,45
2020-01-09,55
2020-01-10,38
2020-01-11,54
2020-01-12,58
2020-01-13,37
2020-01-14,54
2020-01-15,63
2020-01-16,51
2020-01-17,43
2020-01-18,52
2020-01-19,58
2020-01-20,51
2020-01-21,52
2020-01-22,60
2020-01-23,62
2020-01-24,41
2020-01-25,43
2020-01-26,61
2020-01-27,48
2020-01-28,36
2020-01-29,55
2020-01-30,57
2020-01-31,49
2020-02-01,50
2020-02-02,60
2020-02-03,47
2020-02-04,47
2020-02-05,51
2020-02-06,57
2020-02-07,53
2020-02-08,48
2020-02-09,58
2020-02-10,47
2020-02-11,58
2020-02-12,54
2020-02-13,54
2020-02-14,46
2020-02-15,52
2020-02-16,70
2020-02-17,52
2020-02-18,63
2020-02-19,59
2020-02-20,51
2020-02-21,44
2020-02-22,45
2020-02-23,61
2020-02-24,43
2020-02-25,46
2020-02-26,56
2020-02-27,53
2020-02-28,47
2020-02-29,63
2020-03-01,63
2020-03-02,52
2020-03-03,55
2020-03-04,52
2020-03-05,43
2020-03-06,32
2020-03-07,38
2020-03-08,59
2020-03-09,43
2020-03-10,49
2020-03-11,36
2020-03-12,42
2020-03-13,41
2020-03-14,75
2020-03-15,54
2020-03-16,44
2020-03-17,56
2020-03-18,52
2020-03-19,64
2020-03-20,59
2020-03-21,83
2020-03-22,83
2020-03-23,78
2020-03-24,72
2020-03-25,79
2020-03-26,66
2020-03-27,64
2020-03-28,88
2020-03-29,89
2020-03-30,65
2020-03-31,79
2020-04-01,72
2020-04-02,66
2020-04-03,80
2020-04-04,93
2020-04-05,100
2020-04-06,72
2020-04-07,85
