Categoría: Todas las categorías

Día,Oración: (Reino Unido)
2018-12-30,57
2018-12-31,65
2019-01-01,67
2019-01-02,56
2019-01-03,55
2019-01-04,63
2019-01-05,60
2019-01-06,63
2019-01-07,62
2019-01-08,59
2019-01-09,62
2019-01-10,64
2019-01-11,65
2019-01-12,59
2019-01-13,66
2019-01-14,61
2019-01-15,63
2019-01-16,57
2019-01-17,63
2019-01-18,66
2019-01-19,62
2019-01-20,65
2019-01-21,68
2019-01-22,62
2019-01-23,61
2019-01-24,63
2019-01-25,69
2019-01-26,70
2019-01-27,67
2019-01-28,66
2019-01-29,62
2019-01-30,62
2019-01-31,62
2019-02-01,65
2019-02-02,61
2019-02-03,69
2019-02-04,67
2019-02-05,65
2019-02-06,58
2019-02-07,67
2019-02-08,64
2019-02-09,60
2019-02-10,66
2019-02-11,64
2019-02-12,63
2019-02-13,66
2019-02-14,65
2019-02-15,68
2019-02-16,64
2019-02-17,64
2019-02-18,60
2019-02-19,60
2019-02-20,60
2019-02-21,60
2019-02-22,72
2019-02-23,61
2019-02-24,72
2019-02-25,71
2019-02-26,66
2019-02-27,58
2019-02-28,66
2019-03-01,75
2019-03-02,67
2019-03-03,70
2019-03-04,64
2019-03-05,66
2019-03-06,71
2019-03-07,67
2019-03-08,69
2019-03-09,65
2019-03-10,66
2019-03-11,66
2019-03-12,62
2019-03-13,63
2019-03-14,71
2019-03-15,84
2019-03-16,69
2019-03-17,73
2019-03-18,72
2019-03-19,64
2019-03-20,67
2019-03-21,66
2019-03-22,75
2019-03-23,64
2019-03-24,69
2019-03-25,74
2019-03-26,68
2019-03-27,69
2019-03-28,68
2019-03-29,79
2019-03-30,69
2019-03-31,100
2019-04-01,79
2019-04-02,78
2019-04-03,76
2019-04-04,74
2019-04-05,76
2019-04-06,69
2019-04-07,72
2019-04-08,65
2019-04-09,57
2019-04-10,62
