Categoría: Todas las categorías

Día,Oración: (Irlanda)
2018-12-30,67
2018-12-31,82
2019-01-01,67
2019-01-02,61
2019-01-03,69
2019-01-04,74
2019-01-05,75
2019-01-06,75
2019-01-07,77
2019-01-08,67
2019-01-09,81
2019-01-10,66
2019-01-11,74
2019-01-12,63
2019-01-13,71
2019-01-14,69
2019-01-15,55
2019-01-16,78
2019-01-17,59
2019-01-18,76
2019-01-19,54
2019-01-20,79
2019-01-21,77
2019-01-22,75
2019-01-23,72
2019-01-24,83
2019-01-25,63
2019-01-26,64
2019-01-27,66
2019-01-28,66
2019-01-29,86
2019-01-30,79
2019-01-31,69
2019-02-01,76
2019-02-02,78
2019-02-03,75
2019-02-04,72
2019-02-05,62
2019-02-06,66
2019-02-07,86
2019-02-08,63
2019-02-09,54
2019-02-10,82
2019-02-11,87
2019-02-12,79
2019-02-13,64
2019-02-14,75
2019-02-15,68
2019-02-16,71
2019-02-17,80
2019-02-18,76
2019-02-19,69
2019-02-20,71
2019-02-21,63
2019-02-22,58
2019-02-23,75
2019-02-24,70
2019-02-25,72
2019-02-26,83
2019-02-27,73
2019-02-28,86
2019-03-01,82
2019-03-02,51
2019-03-03,90
2019-03-04,81
2019-03-05,84
2019-03-06,100
2019-03-07,81
2019-03-08,74
2019-03-09,80
2019-03-10,71
2019-03-11,85
2019-03-12,81
2019-03-13,80
2019-03-14,83
2019-03-15,79
2019-03-16,83
2019-03-17,83
2019-03-18,70
2019-03-19,87
2019-03-20,66
2019-03-21,84
2019-03-22,76
2019-03-23,62
2019-03-24,82
2019-03-25,79
2019-03-26,83
2019-03-27,71
2019-03-28,71
2019-03-29,80
2019-03-30,72
2019-03-31,91
2019-04-01,85
2019-04-02,88
2019-04-03,80
2019-04-04,72
2019-04-05,77
2019-04-06,71
2019-04-07,87
2019-04-08,75
2019-04-09,59
2019-04-10,89
