Categoría: Todas las categorías

Día,Oración: (Italia)
2018-12-30,78
2018-12-31,83
2019-01-01,88
2019-01-02,67
2019-01-03,69
2019-01-04,75
2019-01-05,75
2019-01-06,81
2019-01-07,72
2019-01-08,74
2019-01-09,70
2019-01-10,75
2019-01-11,75
2019-01-12,72
2019-01-13,78
2019-01-14,74
2019-01-15,76
2019-01-16,76
2019-01-17,83
2019-01-18,79
2019-01-19,79
2019-01-20,87
2019-01-21,73
2019-01-22,73
2019-01-23,72
2019-01-24,81
2019-01-25,79
2019-01-26,85
2019-01-27,77
2019-01-28,74
2019-01-29,72
2019-01-30,72
2019-01-31,74
2019-02-01,78
2019-02-02,76
2019-02-03,84
2019-02-04,73
2019-02-05,85
2019-02-06,74
2019-02-07,76
2019-02-08,79
2019-02-09,77
2019-02-10,75
2019-02-11,98
2019-02-12,81
2019-02-13,84
2019-02-14,75
2019-02-15,80
2019-02-16,78
2019-02-17,83
2019-02-18,77
2019-02-19,74
2019-02-20,79
2019-02-21,89
2019-02-22,81
2019-02-23,83
2019-02-24,84
2019-02-25,78
2019-02-26,75
2019-02-27,82
2019-02-28,77
2019-03-01,78
2019-03-02,79
2019-03-03,81
2019-03-04,75
2019-03-05,80
2019-03-06,82
2019-03-07,81
2019-03-08,78
2019-03-09,83
2019-03-10,86
2019-03-11,83
2019-03-12,84
2019-03-13,82
2019-03-14,83
2019-03-15,78
2019-03-16,84
2019-03-17,86
2019-03-18,93
2019-03-19,100
2019-03-20,86
2019-03-21,88
2019-03-22,91
2019-03-23,91
2019-03-24,90
2019-03-25,89
2019-03-26,84
2019-03-27,87
2019-03-28,84
2019-03-29,86
2019-03-30,85
2019-03-31,94
2019-04-01,92
2019-04-02,90
2019-04-03,85
2019-04-04,88
2019-04-05,85
2019-04-06,88
2019-04-07,83
2019-04-08,83
2019-04-09,85
2019-04-10,80
