Categoría: Todas las categorías

Día,Religión: (Austria)
2018-12-30,78
2018-12-31,56
2019-01-01,60
2019-01-02,55
2019-01-03,62
2019-01-04,66
2019-01-05,38
2019-01-06,66
2019-01-07,63
2019-01-08,56
2019-01-09,74
2019-01-10,63
2019-01-11,49
2019-01-12,69
2019-01-13,57
2019-01-14,56
2019-01-15,58
2019-01-16,69
2019-01-17,50
2019-01-18,49
2019-01-19,75
2019-01-20,54
2019-01-21,63
2019-01-22,62
2019-01-23,56
2019-01-24,47
2019-01-25,46
2019-01-26,52
2019-01-27,76
2019-01-28,73
2019-01-29,51
2019-01-30,53
2019-01-31,65
2019-02-01,58
2019-02-02,40
2019-02-03,58
2019-02-04,53
2019-02-05,61
2019-02-06,57
2019-02-07,51
2019-02-08,47
2019-02-09,51
2019-02-10,51
2019-02-11,45
2019-02-12,46
2019-02-13,66
2019-02-14,51
2019-02-15,59
2019-02-16,79
2019-02-17,69
2019-02-18,48
2019-02-19,62
2019-02-20,67
2019-02-21,56
2019-02-22,51
2019-02-23,65
2019-02-24,59
2019-02-25,64
2019-02-26,70
2019-02-27,100
2019-02-28,61
2019-03-01,55
2019-03-02,63
2019-03-03,68
2019-03-04,57
2019-03-05,55
2019-03-06,65
2019-03-07,56
2019-03-08,67
2019-03-09,42
2019-03-10,61
2019-03-11,57
2019-03-12,56
2019-03-13,62
2019-03-14,62
2019-03-15,72
2019-03-16,57
2019-03-17,68
2019-03-18,27
2019-03-19,63
2019-03-20,67
2019-03-21,43
2019-03-22,62
2019-03-23,48
2019-03-24,61
2019-03-25,52
2019-03-26,59
2019-03-27,59
2019-03-28,80
2019-03-29,53
2019-03-30,61
2019-03-31,67
2019-04-01,61
2019-04-02,65
2019-04-03,57
2019-04-04,59
2019-04-05,46
2019-04-06,29
2019-04-07,54
2019-04-08,66
2019-04-09,60
2019-04-10,55
