Categoría: Todas las categorías

Día,Religión: (Bélgica)
2018-12-30,28
2018-12-31,31
2019-01-01,28
2019-01-02,28
2019-01-03,22
2019-01-04,22
2019-01-05,34
2019-01-06,47
2019-01-07,37
2019-01-08,32
2019-01-09,30
2019-01-10,38
2019-01-11,24
2019-01-12,35
2019-01-13,45
2019-01-14,100
2019-01-15,70
2019-01-16,41
2019-01-17,36
2019-01-18,37
2019-01-19,35
2019-01-20,40
2019-01-21,31
2019-01-22,32
2019-01-23,42
2019-01-24,36
2019-01-25,30
2019-01-26,37
2019-01-27,47
2019-01-28,40
2019-01-29,31
2019-01-30,31
2019-01-31,35
2019-02-01,35
2019-02-02,26
2019-02-03,33
2019-02-04,33
2019-02-05,31
2019-02-06,31
2019-02-07,29
2019-02-08,25
2019-02-09,25
2019-02-10,39
2019-02-11,26
2019-02-12,29
2019-02-13,28
2019-02-14,31
2019-02-15,25
2019-02-16,27
2019-02-17,42
2019-02-18,34
2019-02-19,41
2019-02-20,33
2019-02-21,35
2019-02-22,36
2019-02-23,35
2019-02-24,38
2019-02-25,40
2019-02-26,39
2019-02-27,30
2019-02-28,33
2019-03-01,31
2019-03-02,29
2019-03-03,35
2019-03-04,22
2019-03-05,31
2019-03-06,37
2019-03-07,31
2019-03-08,31
2019-03-09,37
2019-03-10,45
2019-03-11,37
2019-03-12,35
2019-03-13,35
2019-03-14,41
2019-03-15,34
2019-03-16,43
2019-03-17,29
2019-03-18,37
2019-03-19,38
2019-03-20,41
2019-03-21,47
2019-03-22,27
2019-03-23,26
2019-03-24,35
2019-03-25,35
2019-03-26,36
2019-03-27,35
2019-03-28,36
2019-03-29,27
2019-03-30,40
2019-03-31,32
2019-04-01,36
2019-04-02,35
2019-04-03,27
2019-04-04,37
2019-04-05,24
2019-04-06,35
2019-04-07,29
2019-04-08,19
2019-04-09,24
2019-04-10,19
