Categoría: Todas las categorías

Día,Religión: (Reino Unido)
2018-12-30,43
2018-12-31,41
2019-01-01,47
2019-01-02,41
2019-01-03,43
2019-01-04,44
2019-01-05,43
2019-01-06,50
2019-01-07,54
2019-01-08,57
2019-01-09,56
2019-01-10,55
2019-01-11,47
2019-01-12,49
2019-01-13,59
2019-01-14,63
2019-01-15,57
2019-01-16,56
2019-01-17,57
2019-01-18,49
2019-01-19,45
2019-01-20,56
2019-01-21,55
2019-01-22,54
2019-01-23,50
2019-01-24,52
2019-01-25,43
2019-01-26,42
2019-01-27,56
2019-01-28,47
2019-01-29,47
2019-01-30,52
2019-01-31,44
2019-02-01,52
2019-02-02,42
2019-02-03,56
2019-02-04,57
2019-02-05,57
2019-02-06,55
2019-02-07,54
2019-02-08,50
2019-02-09,45
2019-02-10,57
2019-02-11,61
2019-02-12,56
2019-02-13,48
2019-02-14,50
2019-02-15,45
2019-02-16,42
2019-02-17,45
2019-02-18,45
2019-02-19,72
2019-02-20,46
2019-02-21,46
2019-02-22,45
2019-02-23,45
2019-02-24,54
2019-02-25,56
2019-02-26,55
2019-02-27,55
2019-02-28,57
2019-03-01,47
2019-03-02,49
2019-03-03,59
2019-03-04,58
2019-03-05,55
2019-03-06,58
2019-03-07,61
2019-03-08,50
2019-03-09,48
2019-03-10,59
2019-03-11,58
2019-03-12,56
2019-03-13,48
2019-03-14,54
2019-03-15,63
2019-03-16,51
2019-03-17,61
2019-03-18,63
2019-03-19,68
2019-03-20,63
2019-03-21,57
2019-03-22,57
2019-03-23,55
2019-03-24,65
2019-03-25,61
2019-03-26,100
2019-03-27,62
2019-03-28,59
2019-03-29,47
2019-03-30,44
2019-03-31,63
2019-04-01,47
2019-04-02,56
2019-04-03,58
2019-04-04,51
2019-04-05,43
2019-04-06,42
2019-04-07,50
2019-04-08,48
2019-04-09,45
2019-04-10,46
