Categoría: Todas las categorías

Día,Religión: (Alemania)
2018-12-30,80
2018-12-31,88
2019-01-01,79
2019-01-02,74
2019-01-03,73
2019-01-04,71
2019-01-05,75
2019-01-06,91
2019-01-07,85
2019-01-08,89
2019-01-09,84
2019-01-10,88
2019-01-11,74
2019-01-12,65
2019-01-13,91
2019-01-14,81
2019-01-15,87
2019-01-16,80
2019-01-17,84
2019-01-18,75
2019-01-19,73
2019-01-20,81
2019-01-21,78
2019-01-22,87
2019-01-23,88
2019-01-24,78
2019-01-25,70
2019-01-26,83
2019-01-27,93
2019-01-28,77
2019-01-29,82
2019-01-30,81
2019-01-31,72
2019-02-01,74
2019-02-02,68
2019-02-03,81
2019-02-04,74
2019-02-05,81
2019-02-06,79
2019-02-07,87
2019-02-08,66
2019-02-09,65
2019-02-10,83
2019-02-11,80
2019-02-12,87
2019-02-13,87
2019-02-14,71
2019-02-15,70
2019-02-16,76
2019-02-17,96
2019-02-18,80
2019-02-19,81
2019-02-20,82
2019-02-21,82
2019-02-22,77
2019-02-23,78
2019-02-24,88
2019-02-25,72
2019-02-26,87
2019-02-27,78
2019-02-28,73
2019-03-01,69
2019-03-02,64
2019-03-03,79
2019-03-04,75
2019-03-05,75
2019-03-06,83
2019-03-07,87
2019-03-08,74
2019-03-09,75
2019-03-10,91
2019-03-11,81
2019-03-12,87
2019-03-13,81
2019-03-14,86
2019-03-15,100
2019-03-16,88
2019-03-17,99
2019-03-18,84
2019-03-19,82
2019-03-20,83
2019-03-21,92
2019-03-22,83
2019-03-23,86
2019-03-24,90
2019-03-25,88
2019-03-26,90
2019-03-27,91
2019-03-28,97
2019-03-29,79
2019-03-30,75
2019-03-31,82
2019-04-01,88
2019-04-02,87
2019-04-03,85
2019-04-04,89
2019-04-05,69
2019-04-06,72
2019-04-07,85
2019-04-08,74
2019-04-09,78
2019-04-10,88
