Categoría: Todas las categorías

Día,Religión: (Italia)
2018-12-30,78
2018-12-31,84
2019-01-01,84
2019-01-02,67
2019-01-03,70
2019-01-04,73
2019-01-05,80
2019-01-06,100
2019-01-07,79
2019-01-08,93
2019-01-09,80
2019-01-10,82
2019-01-11,76
2019-01-12,68
2019-01-13,79
2019-01-14,80
2019-01-15,81
2019-01-16,87
2019-01-17,87
2019-01-18,77
2019-01-19,74
2019-01-20,93
2019-01-21,81
2019-01-22,76
2019-01-23,74
2019-01-24,83
2019-01-25,77
2019-01-26,66
2019-01-27,92
2019-01-28,84
2019-01-29,79
2019-01-30,78
2019-01-31,75
2019-02-01,71
2019-02-02,72
2019-02-03,79
2019-02-04,91
2019-02-05,85
2019-02-06,84
2019-02-07,77
2019-02-08,75
2019-02-09,74
2019-02-10,72
2019-02-11,75
2019-02-12,75
2019-02-13,78
2019-02-14,85
2019-02-15,87
2019-02-16,87
2019-02-17,98
2019-02-18,99
2019-02-19,93
2019-02-20,88
2019-02-21,83
2019-02-22,82
2019-02-23,78
2019-02-24,78
2019-02-25,66
2019-02-26,80
2019-02-27,76
2019-02-28,76
2019-03-01,70
2019-03-02,74
2019-03-03,72
2019-03-04,74
2019-03-05,73
2019-03-06,82
2019-03-07,73
2019-03-08,65
2019-03-09,69
2019-03-10,77
2019-03-11,78
2019-03-12,78
2019-03-13,70
2019-03-14,74
2019-03-15,78
2019-03-16,79
2019-03-17,79
2019-03-18,88
2019-03-19,79
2019-03-20,79
2019-03-21,76
2019-03-22,73
2019-03-23,75
2019-03-24,86
2019-03-25,74
2019-03-26,79
2019-03-27,85
2019-03-28,85
2019-03-29,82
2019-03-30,71
2019-03-31,83
2019-04-01,79
2019-04-02,81
2019-04-03,85
2019-04-04,83
2019-04-05,77
2019-04-06,72
2019-04-07,89
2019-04-08,76
2019-04-09,85
2019-04-10,84
