Categoría: Todas las categorías

Día,Religión: (Portugal)
2018-12-30,53
2018-12-31,30
2019-01-01,58
2019-01-02,55
2019-01-03,54
2019-01-04,57
2019-01-05,72
2019-01-06,76
2019-01-07,58
2019-01-08,65
2019-01-09,73
2019-01-10,86
2019-01-11,62
2019-01-12,100
2019-01-13,61
2019-01-14,65
2019-01-15,94
2019-01-16,82
2019-01-17,77
2019-01-18,49
2019-01-19,61
2019-01-20,84
2019-01-21,67
2019-01-22,74
2019-01-23,49
2019-01-24,81
2019-01-25,70
2019-01-26,56
2019-01-27,85
2019-01-28,60
2019-01-29,79
2019-01-30,57
2019-01-31,43
2019-02-01,48
2019-02-02,72
2019-02-03,64
2019-02-04,48
2019-02-05,71
2019-02-06,64
2019-02-07,50
2019-02-08,44
2019-02-09,53
2019-02-10,68
2019-02-11,58
2019-02-12,53
2019-02-13,76
2019-02-14,59
2019-02-15,47
2019-02-16,56
2019-02-17,63
2019-02-18,50
2019-02-19,85
2019-02-20,53
2019-02-21,64
2019-02-22,50
2019-02-23,68
2019-02-24,52
2019-02-25,51
2019-02-26,66
2019-02-27,54
2019-02-28,62
2019-03-01,61
2019-03-02,36
2019-03-03,51
2019-03-04,44
2019-03-05,72
2019-03-06,58
2019-03-07,43
2019-03-08,61
2019-03-09,80
2019-03-10,59
2019-03-11,42
2019-03-12,74
2019-03-13,68
2019-03-14,77
2019-03-15,50
2019-03-16,62
2019-03-17,75
2019-03-18,65
2019-03-19,81
2019-03-20,48
2019-03-21,74
2019-03-22,73
2019-03-23,63
2019-03-24,77
2019-03-25,75
2019-03-26,65
2019-03-27,67
2019-03-28,78
2019-03-29,75
2019-03-30,79
2019-03-31,62
2019-04-01,48
2019-04-02,71
2019-04-03,38
2019-04-04,66
2019-04-05,55
2019-04-06,61
2019-04-07,40
2019-04-08,59
2019-04-09,62
2019-04-10,61
