Categoría: Todas las categorías

Día,Religión: (Irlanda)
2019-12-30,56
2019-12-31,57
2020-01-01,53
2020-01-02,57
2020-01-03,55
2020-01-04,57
2020-01-05,76
2020-01-06,84
2020-01-07,74
2020-01-08,72
2020-01-09,68
2020-01-10,80
2020-01-11,69
2020-01-12,55
2020-01-13,72
2020-01-14,70
2020-01-15,97
2020-01-16,86
2020-01-17,66
2020-01-18,53
2020-01-19,62
2020-01-20,88
2020-01-21,82
2020-01-22,69
2020-01-23,81
2020-01-24,56
2020-01-25,51
2020-01-26,66
2020-01-27,71
2020-01-28,62
2020-01-29,72
2020-01-30,65
2020-01-31,49
2020-02-01,55
2020-02-02,62
2020-02-03,60
2020-02-04,62
2020-02-05,70
2020-02-06,75
2020-02-07,45
2020-02-08,54
2020-02-09,45
2020-02-10,50
2020-02-11,60
2020-02-12,73
2020-02-13,61
2020-02-14,60
2020-02-15,55
2020-02-16,53
2020-02-17,40
2020-02-18,45
2020-02-19,51
2020-02-20,73
2020-02-21,43
2020-02-22,39
2020-02-23,66
2020-02-24,75
2020-02-25,68
2020-02-26,93
2020-02-27,81
2020-02-28,73
2020-02-29,57
2020-03-01,74
2020-03-02,100
2020-03-03,58
2020-03-04,72
2020-03-05,68
2020-03-06,48
2020-03-07,50
2020-03-08,45
2020-03-09,63
2020-03-10,56
2020-03-11,53
2020-03-12,50
2020-03-13,58
2020-03-14,60
2020-03-15,46
2020-03-16,58
2020-03-17,47
2020-03-18,84
2020-03-19,46
2020-03-20,74
2020-03-21,36
2020-03-22,51
2020-03-23,76
2020-03-24,81
2020-03-25,82
2020-03-26,60
2020-03-27,71
2020-03-28,40
2020-03-29,52
2020-03-30,82
2020-03-31,84
2020-04-01,77
2020-04-02,76
2020-04-03,76
2020-04-04,65
2020-04-05,69
2020-04-06,72
2020-04-07,61
