Categoría: Todas las categorías

Día,Religión: (España)
2019-12-30,61
2019-12-31,73
2020-01-01,71
2020-01-02,63
2020-01-03,58
2020-01-04,63
2020-01-05,70
2020-01-06,66
2020-01-07,67
2020-01-08,74
2020-01-09,78
2020-01-10,72
2020-01-11,71
2020-01-12,77
2020-01-13,83
2020-01-14,79
2020-01-15,82
2020-01-16,83
2020-01-17,76
2020-01-18,71
2020-01-19,72
2020-01-20,77
2020-01-21,78
2020-01-22,78
2020-01-23,75
2020-01-24,76
2020-01-25,61
2020-01-26,72
2020-01-27,78
2020-01-28,80
2020-01-29,80
2020-01-30,69
2020-01-31,75
2020-02-01,61
2020-02-02,83
2020-02-03,82
2020-02-04,79
2020-02-05,73
2020-02-06,70
2020-02-07,72
2020-02-08,72
2020-02-09,79
2020-02-10,81
2020-02-11,81
2020-02-12,81
2020-02-13,83
2020-02-14,70
2020-02-15,64
2020-02-16,75
2020-02-17,85
2020-02-18,77
2020-02-19,79
2020-02-20,77
2020-02-21,71
2020-02-22,59
2020-02-23,74
2020-02-24,80
2020-02-25,79
2020-02-26,77
2020-02-27,75
2020-02-28,76
2020-02-29,68
2020-03-01,74
2020-03-02,100
2020-03-03,94
2020-03-04,89
2020-03-05,89
2020-03-06,71
2020-03-07,69
2020-03-08,70
2020-03-09,71
2020-03-10,67
2020-03-11,63
2020-03-12,63
2020-03-13,54
2020-03-14,57
2020-03-15,61
2020-03-16,70
2020-03-17,81
2020-03-18,75
2020-03-19,83
2020-03-20,76
2020-03-21,73
2020-03-22,74
2020-03-23,89
2020-03-24,88
2020-03-25,86
2020-03-26,85
2020-03-27,89
2020-03-28,75
2020-03-29,81
2020-03-30,92
2020-03-31,89
2020-04-01,82
2020-04-02,92
2020-04-03,86
2020-04-04,75
2020-04-05,92
2020-04-06,79
2020-04-07,85
