Categoría: Todas las categorías

Semana,Religión: (Austria)
2018-12-30,77
2019-01-06,76
2019-01-13,76
2019-01-20,73
2019-01-27,74
2019-02-03,69
2019-02-10,74
2019-02-17,75
2019-02-24,88
2019-03-03,71
2019-03-10,79
2019-03-17,73
2019-03-24,80
2019-03-31,73
2019-04-07,79
2019-04-14,82
2019-04-21,100
2019-04-28,72
2019-05-05,74
2019-05-12,73
2019-05-19,70
2019-05-26,73
2019-06-02,72
2019-06-09,69
2019-06-16,63
2019-06-23,62
2019-06-30,51
2019-07-07,49
2019-07-14,49
2019-07-21,42
2019-07-28,51
2019-08-04,46
2019-08-11,53
2019-08-18,54
2019-08-25,56
2019-09-01,65
2019-09-08,76
2019-09-15,72
2019-09-22,71
2019-09-29,59
2019-10-06,73
2019-10-13,87
2019-10-20,77
2019-10-27,66
2019-11-03,77
2019-11-10,71
2019-11-17,72
2019-11-24,64
2019-12-01,75
2019-12-08,71
2019-12-15,76
2019-12-22,83
2019-12-29,79
2020-01-05,80
2020-01-12,80
2020-01-19,76
2020-01-26,75
2020-02-02,65
2020-02-09,71
2020-02-16,72
2020-02-23,76
2020-03-01,78
2020-03-08,64
2020-03-15,72
2020-03-22,88
2020-03-29,85
2020-04-05,81
