Categoría: Todas las categorías

Semana,Religión: (Irlanda)
2018-12-30,68
2019-01-06,91
2019-01-13,96
2019-01-20,88
2019-01-27,80
2019-02-03,78
2019-02-10,84
2019-02-17,60
2019-02-24,85
2019-03-03,83
2019-03-10,91
2019-03-17,96
2019-03-24,99
2019-03-31,94
2019-04-07,98
2019-04-14,84
2019-04-21,98
2019-04-28,94
2019-05-05,82
2019-05-12,91
2019-05-19,76
2019-05-26,71
2019-06-02,64
2019-06-09,82
2019-06-16,59
2019-06-23,59
2019-06-30,57
2019-07-07,53
2019-07-14,56
2019-07-21,54
2019-07-28,57
2019-08-04,54
2019-08-11,59
2019-08-18,62
2019-08-25,72
2019-09-01,100
2019-09-08,94
2019-09-15,88
2019-09-22,84
2019-09-29,83
2019-10-06,96
2019-10-13,100
2019-10-20,96
2019-10-27,63
2019-11-03,96
2019-11-10,92
2019-11-17,86
2019-11-24,87
2019-12-01,84
2019-12-08,83
2019-12-15,87
2019-12-22,76
2019-12-29,76
2020-01-05,98
2020-01-12,92
2020-01-19,85
2020-01-26,79
2020-02-02,80
2020-02-09,74
2020-02-16,62
2020-02-23,89
2020-03-01,84
2020-03-08,69
2020-03-15,77
2020-03-22,87
2020-03-29,91
2020-04-05,83
