Categoría: Todas las categorías

Semana,Religión: (Portugal)
2018-12-30,72
2019-01-06,83
2019-01-13,77
2019-01-20,78
2019-01-27,70
2019-02-03,69
2019-02-10,72
2019-02-17,73
2019-02-24,65
2019-03-03,67
2019-03-10,74
2019-03-17,80
2019-03-24,83
2019-03-31,66
2019-04-07,64
2019-04-14,83
2019-04-21,100
2019-04-28,72
2019-05-05,82
2019-05-12,73
2019-05-19,81
2019-05-26,79
2019-06-02,79
2019-06-09,72
2019-06-16,61
2019-06-23,68
2019-06-30,57
2019-07-07,59
2019-07-14,59
2019-07-21,48
2019-07-28,54
2019-08-04,53
2019-08-11,64
2019-08-18,59
2019-08-25,56
2019-09-01,52
2019-09-08,62
2019-09-15,64
2019-09-22,70
2019-09-29,63
2019-10-06,68
2019-10-13,75
2019-10-20,82
2019-10-27,74
2019-11-03,76
2019-11-10,70
2019-11-17,77
2019-11-24,75
2019-12-01,76
2019-12-08,72
2019-12-15,66
2019-12-22,81
2019-12-29,75
2020-01-05,73
2020-01-12,75
2020-01-19,77
2020-01-26,76
2020-02-02,73
2020-02-09,71
2020-02-16,81
2020-02-23,79
2020-03-01,83
2020-03-08,62
2020-03-15,83
2020-03-22,88
2020-03-29,66
2020-04-05,84
