Categoría: Todas las categorías

Día,Espiritualidad: (Alemania)
2018-12-30,100
2018-12-31,80
2019-01-01,89
2019-01-02,61
2019-01-03,61
2019-01-04,66
2019-01-05,80
2019-01-06,80
2019-01-07,58
2019-01-08,71
2019-01-09,56
2019-01-10,58
2019-01-11,66
2019-01-12,60
2019-01-13,67
2019-01-14,63
2019-01-15,69
2019-01-16,67
2019-01-17,70
2019-01-18,64
2019-01-19,77
2019-01-20,88
2019-01-21,87
2019-01-22,66
2019-01-23,65
2019-01-24,69
2019-01-25,56
2019-01-26,53
2019-01-27,64
2019-01-28,58
2019-01-29,63
2019-01-30,62
2019-01-31,63
2019-02-01,52
2019-02-02,54
2019-02-03,73
2019-02-04,57
2019-02-05,50
2019-02-06,57
2019-02-07,59
2019-02-08,61
2019-02-09,72
2019-02-10,78
2019-02-11,56
2019-02-12,70
2019-02-13,63
2019-02-14,71
2019-02-15,62
2019-02-16,64
2019-02-17,85
2019-02-18,68
2019-02-19,66
2019-02-20,62
2019-02-21,58
2019-02-22,59
2019-02-23,56
2019-02-24,69
2019-02-25,59
2019-02-26,66
2019-02-27,61
2019-02-28,59
2019-03-01,51
2019-03-02,59
2019-03-03,78
2019-03-04,55
2019-03-05,69
2019-03-06,61
2019-03-07,64
2019-03-08,61
2019-03-09,58
2019-03-10,76
2019-03-11,56
2019-03-12,64
2019-03-13,64
2019-03-14,58
2019-03-15,57
2019-03-16,68
2019-03-17,81
2019-03-18,77
2019-03-19,83
2019-03-20,67
2019-03-21,59
2019-03-22,61
2019-03-23,63
2019-03-24,69
2019-03-25,47
2019-03-26,58
2019-03-27,65
2019-03-28,71
2019-03-29,61
2019-03-30,60
2019-03-31,56
2019-04-01,51
2019-04-02,59
2019-04-03,67
2019-04-04,65
2019-04-05,67
2019-04-06,74
2019-04-07,71
2019-04-08,64
2019-04-09,60
2019-04-10,63
