Categoría: Todas las categorías

Día,Espiritualidad: (Portugal)
2019-12-30,37
2019-12-31,41
2020-01-01,38
2020-01-02,21
2020-01-03,35
2020-01-04,44
2020-01-05,24
2020-01-06,29
2020-01-07,21
2020-01-08,25
2020-01-09,30
2020-01-10,31
2020-01-11,29
2020-01-12,30
2020-01-13,29
2020-01-14,33
2020-01-15,26
2020-01-16,28
2020-01-17,25
2020-01-18,28
2020-01-19,35
2020-01-20,34
2020-01-21,27
2020-01-22,35
2020-01-23,35
2020-01-24,26
2020-01-25,37
2020-01-26,31
2020-01-27,27
2020-01-28,38
2020-01-29,33
2020-01-30,34
2020-01-31,25
2020-02-01,28
2020-02-02,37
2020-02-03,22
2020-02-04,32
2020-02-05,37
2020-02-06,39
2020-02-07,41
2020-02-08,33
2020-02-09,26
2020-02-10,21
2020-02-11,31
2020-02-12,26
2020-02-13,32
2020-02-14,37
2020-02-15,38
2020-02-16,29
2020-02-17,100
2020-02-18,55
2020-02-19,37
2020-02-20,35
2020-02-21,35
2020-02-22,40
2020-02-23,38
2020-02-24,39
2020-02-25,38
2020-02-26,44
2020-02-27,32
2020-02-28,33
2020-02-29,29
2020-03-01,37
2020-03-02,48
2020-03-03,33
2020-03-04,36
2020-03-05,26
2020-03-06,29
2020-03-07,37
2020-03-08,42
2020-03-09,26
2020-03-10,33
2020-03-11,28
2020-03-12,14
2020-03-13,32
2020-03-14,40
2020-03-15,40
2020-03-16,25
2020-03-17,24
2020-03-18,31
2020-03-19,27
2020-03-20,30
2020-03-21,38
2020-03-22,44
2020-03-23,22
2020-03-24,30
2020-03-25,39
2020-03-26,32
2020-03-27,20
2020-03-28,35
2020-03-29,48
2020-03-30,48
2020-03-31,53
2020-04-01,34
2020-04-02,40
2020-04-03,28
2020-04-04,35
2020-04-05,38
2020-04-06,28
2020-04-07,40
