Categoría: Todas las categorías

Semana,Espiritualidad: (Francia)
2018-12-30,80
2019-01-06,67
2019-01-13,65
2019-01-20,70
2019-01-27,66
2019-02-03,64
2019-02-10,66
2019-02-17,70
2019-02-24,71
2019-03-03,69
2019-03-10,72
2019-03-17,77
2019-03-24,71
2019-03-31,69
2019-04-07,70
2019-04-14,74
2019-04-21,78
2019-04-28,70
2019-05-05,71
2019-05-12,73
2019-05-19,71
2019-05-26,69
2019-06-02,71
2019-06-09,74
2019-06-16,82
2019-06-23,68
2019-06-30,69
2019-07-07,70
2019-07-14,73
2019-07-21,71
2019-07-28,74
2019-08-04,76
2019-08-11,79
2019-08-18,76
2019-08-25,74
2019-09-01,71
2019-09-08,72
2019-09-15,79
2019-09-22,71
2019-09-29,73
2019-10-06,78
2019-10-13,77
2019-10-20,72
2019-10-27,84
2019-11-03,78
2019-11-10,79
2019-11-17,76
2019-11-24,71
2019-12-01,67
2019-12-08,69
2019-12-15,78
2019-12-22,78
2019-12-29,97
2020-01-05,81
2020-01-12,81
2020-01-19,84
2020-01-26,75
2020-02-02,81
2020-02-09,74
2020-02-16,83
2020-02-23,75
2020-03-01,78
2020-03-08,77
2020-03-15,78
2020-03-22,92
2020-03-29,97
2020-04-05,100
