Categoría: Todas las categorías

Semana,Espiritualidad: (España)
2018-12-30,72
2019-01-06,66
2019-01-13,66
2019-01-20,69
2019-01-27,59
2019-02-03,68
2019-02-10,66
2019-02-17,68
2019-02-24,68
2019-03-03,67
2019-03-10,63
2019-03-17,73
2019-03-24,69
2019-03-31,67
2019-04-07,75
2019-04-14,70
2019-04-21,68
2019-04-28,65
2019-05-05,67
2019-05-12,67
2019-05-19,67
2019-05-26,64
2019-06-02,72
2019-06-09,73
2019-06-16,69
2019-06-23,67
2019-06-30,68
2019-07-07,77
2019-07-14,77
2019-07-21,77
2019-07-28,72
2019-08-04,82
2019-08-11,79
2019-08-18,72
2019-08-25,76
2019-09-01,75
2019-09-08,74
2019-09-15,77
2019-09-22,80
2019-09-29,77
2019-10-06,76
2019-10-13,71
2019-10-20,76
2019-10-27,75
2019-11-03,82
2019-11-10,76
2019-11-17,74
2019-11-24,75
2019-12-01,74
2019-12-08,70
2019-12-15,75
2019-12-22,79
2019-12-29,81
2020-01-05,75
2020-01-12,89
2020-01-19,78
2020-01-26,82
2020-02-02,84
2020-02-09,82
2020-02-16,90
2020-02-23,82
2020-03-01,90
2020-03-08,74
2020-03-15,75
2020-03-22,83
2020-03-29,100
2020-04-05,98
