Categoría: Todas las categorías

Día,Oración: (Austria)
2018-12-30,54
2018-12-31,76
2019-01-01,53
2019-01-02,55
2019-01-03,60
2019-01-04,55
2019-01-05,46
2019-01-06,99
2019-01-07,66
2019-01-08,65
2019-01-09,71
2019-01-10,57
2019-01-11,61
2019-01-12,77
2019-01-13,75
2019-01-14,76
2019-01-15,74
2019-01-16,50
2019-01-17,70
2019-01-18,72
2019-01-19,63
2019-01-20,82
2019-01-21,55
2019-01-22,81
2019-01-23,75
2019-01-24,70
2019-01-25,65
2019-01-26,47
2019-01-27,59
2019-01-28,56
2019-01-29,80
2019-01-30,52
2019-01-31,77
2019-02-01,72
2019-02-02,49
2019-02-03,67
2019-02-04,50
2019-02-05,76
2019-02-06,59
2019-02-07,71
2019-02-08,53
2019-02-09,66
2019-02-10,89
2019-02-11,86
2019-02-12,68
2019-02-13,71
2019-02-14,68
2019-02-15,63
2019-02-16,60
2019-02-17,68
2019-02-18,62
2019-02-19,75
2019-02-20,61
2019-02-21,64
2019-02-22,48
2019-02-23,61
2019-02-24,74
2019-02-25,63
2019-02-26,59
2019-02-27,58
2019-02-28,60
2019-03-01,64
2019-03-02,50
2019-03-03,87
2019-03-04,61
2019-03-05,59
2019-03-06,57
2019-03-07,100
2019-03-08,65
2019-03-09,81
2019-03-10,63
2019-03-11,64
2019-03-12,66
2019-03-13,70
2019-03-14,69
2019-03-15,97
2019-03-16,84
2019-03-17,78
2019-03-18,68
2019-03-19,76
2019-03-20,67
2019-03-21,81
2019-03-22,53
2019-03-23,83
2019-03-24,80
2019-03-25,70
2019-03-26,82
2019-03-27,50
2019-03-28,60
2019-03-29,71
2019-03-30,72
2019-03-31,88
2019-04-01,73
2019-04-02,85
2019-04-03,70
2019-04-04,66
2019-04-05,70
2019-04-06,51
2019-04-07,82
2019-04-08,70
2019-04-09,68
2019-04-10,72
