date,/m/06bvp,isPartial
2018-12-30,78,False
2018-12-31,86,False
2019-01-01,86,False
2019-01-02,70,False
2019-01-03,68,False
2019-01-04,75,False
2019-01-05,83,False
2019-01-06,97,False
2019-01-07,80,False
2019-01-08,95,False
2019-01-09,82,False
2019-01-10,83,False
2019-01-11,79,False
2019-01-12,69,False
2019-01-13,79,False
2019-01-14,83,False
2019-01-15,82,False
2019-01-16,87,False
2019-01-17,88,False
2019-01-18,80,False
2019-01-19,76,False
2019-01-20,95,False
2019-01-21,82,False
2019-01-22,80,False
2019-01-23,77,False
2019-01-24,83,False
2019-01-25,78,False
2019-01-26,66,False
2019-01-27,94,False
2019-01-28,85,False
2019-01-29,79,False
2019-01-30,80,False
2019-01-31,76,False
2019-02-01,71,False
2019-02-02,73,False
2019-02-03,82,False
2019-02-04,93,False
2019-02-05,86,False
2019-02-06,88,False
2019-02-07,77,False
2019-02-08,75,False
2019-02-09,75,False
2019-02-10,72,False
2019-02-11,76,False
2019-02-12,77,False
2019-02-13,79,False
2019-02-14,87,False
2019-02-15,89,False
2019-02-16,88,False
2019-02-17,98,False
2019-02-18,100,False
2019-02-19,94,False
2019-02-20,88,False
2019-02-21,82,False
2019-02-22,82,False
2019-02-23,80,False
2019-02-24,81,False
2019-02-25,68,False
2019-02-26,81,False
2019-02-27,77,False
2019-02-28,78,False
2019-03-01,70,False
2019-03-02,78,False
2019-03-03,75,False
2019-03-04,73,False
2019-03-05,72,False
2019-03-06,82,False
2019-03-07,73,False
2019-03-08,63,False
2019-03-09,70,False
2019-03-10,77,False
2019-03-11,80,False
2019-03-12,80,False
2019-03-13,72,False
2019-03-14,76,False
2019-03-15,81,False
2019-03-16,79,False
2019-03-17,79,False
2019-03-18,88,False
2019-03-19,81,False
2019-03-20,79,False
2019-03-21,73,False
2019-03-22,74,False
2019-03-23,79,False
2019-03-24,85,False
2019-03-25,72,False
2019-03-26,81,False
2019-03-27,86,False
2019-03-28,83,False
2019-03-29,83,False
2019-03-30,73,False
2019-03-31,82,False
2019-04-01,81,False
2019-04-02,83,False
2019-04-03,85,False
2019-04-04,81,False
2019-04-05,76,False
2019-04-06,73,False
2019-04-07,88,False
2019-04-08,78,False
2019-04-09,87,False
2019-04-10,85,False
