Categoría: Todas las categorías

Día,Église: (Francia)
2018-12-30,50
2018-12-31,48
2019-01-01,38
2019-01-02,40
2019-01-03,47
2019-01-04,42
2019-01-05,57
2019-01-06,54
2019-01-07,41
2019-01-08,47
2019-01-09,45
2019-01-10,47
2019-01-11,46
2019-01-12,58
2019-01-13,61
2019-01-14,49
2019-01-15,46
2019-01-16,45
2019-01-17,62
2019-01-18,54
2019-01-19,50
2019-01-20,58
2019-01-21,45
2019-01-22,48
2019-01-23,43
2019-01-24,48
2019-01-25,52
2019-01-26,52
2019-01-27,61
2019-01-28,48
2019-01-29,46
2019-01-30,42
2019-01-31,40
2019-02-01,47
2019-02-02,54
2019-02-03,59
2019-02-04,40
2019-02-05,46
2019-02-06,48
2019-02-07,49
2019-02-08,54
2019-02-09,54
2019-02-10,56
2019-02-11,64
2019-02-12,49
2019-02-13,50
2019-02-14,48
2019-02-15,43
2019-02-16,65
2019-02-17,70
2019-02-18,46
2019-02-19,46
2019-02-20,46
2019-02-21,53
2019-02-22,52
2019-02-23,63
2019-02-24,61
2019-02-25,48
2019-02-26,53
2019-02-27,44
2019-02-28,44
2019-03-01,47
2019-03-02,62
2019-03-03,60
2019-03-04,47
2019-03-05,50
2019-03-06,62
2019-03-07,57
2019-03-08,56
2019-03-09,59
2019-03-10,72
2019-03-11,52
2019-03-12,51
2019-03-13,48
2019-03-14,58
2019-03-15,58
2019-03-16,67
2019-03-17,100
2019-03-18,70
2019-03-19,53
2019-03-20,54
2019-03-21,51
2019-03-22,49
2019-03-23,62
2019-03-24,74
2019-03-25,50
2019-03-26,52
2019-03-27,50
2019-03-28,47
2019-03-29,55
2019-03-30,61
2019-03-31,63
2019-04-01,52
2019-04-02,57
2019-04-03,58
2019-04-04,52
2019-04-05,54
2019-04-06,59
2019-04-07,73
2019-04-08,48
2019-04-09,54
2019-04-10,51
