Categoría: Todas las categorías

Día,Igreja: (Portugal)
2018-12-30,70
2018-12-31,51
2019-01-01,75
2019-01-02,51
2019-01-03,44
2019-01-04,59
2019-01-05,78
2019-01-06,77
2019-01-07,53
2019-01-08,50
2019-01-09,57
2019-01-10,51
2019-01-11,62
2019-01-12,60
2019-01-13,87
2019-01-14,59
2019-01-15,54
2019-01-16,56
2019-01-17,57
2019-01-18,52
2019-01-19,63
2019-01-20,74
2019-01-21,45
2019-01-22,57
2019-01-23,49
2019-01-24,51
2019-01-25,50
2019-01-26,76
2019-01-27,66
2019-01-28,45
2019-01-29,47
2019-01-30,51
2019-01-31,46
2019-02-01,45
2019-02-02,64
2019-02-03,72
2019-02-04,53
2019-02-05,50
2019-02-06,58
2019-02-07,53
2019-02-08,56
2019-02-09,68
2019-02-10,70
2019-02-11,59
2019-02-12,56
2019-02-13,53
2019-02-14,51
2019-02-15,54
2019-02-16,72
2019-02-17,65
2019-02-18,56
2019-02-19,47
2019-02-20,58
2019-02-21,56
2019-02-22,51
2019-02-23,66
2019-02-24,85
2019-02-25,57
2019-02-26,61
2019-02-27,54
2019-02-28,55
2019-03-01,56
2019-03-02,63
2019-03-03,76
2019-03-04,59
2019-03-05,61
2019-03-06,88
2019-03-07,53
2019-03-08,49
2019-03-09,70
2019-03-10,76
2019-03-11,48
2019-03-12,49
2019-03-13,56
2019-03-14,57
2019-03-15,48
2019-03-16,77
2019-03-17,87
2019-03-18,59
2019-03-19,67
2019-03-20,51
2019-03-21,46
2019-03-22,58
2019-03-23,76
2019-03-24,88
2019-03-25,54
2019-03-26,57
2019-03-27,57
2019-03-28,60
2019-03-29,63
2019-03-30,70
2019-03-31,73
2019-04-01,48
2019-04-02,50
2019-04-03,54
2019-04-04,57
2019-04-05,50
2019-04-06,74
2019-04-07,100
2019-04-08,59
2019-04-09,49
2019-04-10,49
