Categoría: Todas las categorías

Día,Iglesia: (España)
2018-12-30,77
2018-12-31,65
2019-01-01,66
2019-01-02,52
2019-01-03,54
2019-01-04,54
2019-01-05,58
2019-01-06,66
2019-01-07,52
2019-01-08,52
2019-01-09,48
2019-01-10,50
2019-01-11,52
2019-01-12,71
2019-01-13,72
2019-01-14,56
2019-01-15,54
2019-01-16,52
2019-01-17,58
2019-01-18,54
2019-01-19,63
2019-01-20,78
2019-01-21,48
2019-01-22,52
2019-01-23,50
2019-01-24,50
2019-01-25,51
2019-01-26,65
2019-01-27,78
2019-01-28,55
2019-01-29,57
2019-01-30,57
2019-01-31,56
2019-02-01,56
2019-02-02,66
2019-02-03,76
2019-02-04,51
2019-02-05,61
2019-02-06,57
2019-02-07,59
2019-02-08,59
2019-02-09,73
2019-02-10,78
2019-02-11,60
2019-02-12,57
2019-02-13,56
2019-02-14,57
2019-02-15,59
2019-02-16,83
2019-02-17,82
2019-02-18,61
2019-02-19,57
2019-02-20,61
2019-02-21,59
2019-02-22,66
2019-02-23,78
2019-02-24,82
2019-02-25,58
2019-02-26,60
2019-02-27,53
2019-02-28,65
2019-03-01,63
2019-03-02,82
2019-03-03,90
2019-03-04,58
2019-03-05,65
2019-03-06,79
2019-03-07,56
2019-03-08,63
2019-03-09,77
2019-03-10,82
2019-03-11,58
2019-03-12,56
2019-03-13,58
2019-03-14,61
2019-03-15,63
2019-03-16,85
2019-03-17,89
2019-03-18,78
2019-03-19,75
2019-03-20,72
2019-03-21,63
2019-03-22,66
2019-03-23,95
2019-03-24,100
2019-03-25,61
2019-03-26,62
2019-03-27,63
2019-03-28,65
2019-03-29,64
2019-03-30,77
2019-03-31,86
2019-04-01,73
2019-04-02,68
2019-04-03,59
2019-04-04,60
2019-04-05,70
2019-04-06,91
2019-04-07,93
2019-04-08,75
2019-04-09,70
2019-04-10,72
