Categoría: Todas las categorías

Día,Kirche: (Suiza)
2019-12-30,47
2019-12-31,59
2020-01-01,56
2020-01-02,50
2020-01-03,37
2020-01-04,58
2020-01-05,60
2020-01-06,54
2020-01-07,42
2020-01-08,47
2020-01-09,38
2020-01-10,39
2020-01-11,52
2020-01-12,50
2020-01-13,42
2020-01-14,40
2020-01-15,49
2020-01-16,39
2020-01-17,43
2020-01-18,44
2020-01-19,51
2020-01-20,34
2020-01-21,39
2020-01-22,39
2020-01-23,45
2020-01-24,39
2020-01-25,47
2020-01-26,51
2020-01-27,39
2020-01-28,33
2020-01-29,34
2020-01-30,45
2020-01-31,38
2020-02-01,59
2020-02-02,60
2020-02-03,36
2020-02-04,41
2020-02-05,39
2020-02-06,32
2020-02-07,40
2020-02-08,44
2020-02-09,55
2020-02-10,33
2020-02-11,38
2020-02-12,41
2020-02-13,32
2020-02-14,39
2020-02-15,49
2020-02-16,49
2020-02-17,36
2020-02-18,39
2020-02-19,44
2020-02-20,38
2020-02-21,38
2020-02-22,56
2020-02-23,51
2020-02-24,36
2020-02-25,37
2020-02-26,41
2020-02-27,27
2020-02-28,34
2020-02-29,62
2020-03-01,54
2020-03-02,40
2020-03-03,41
2020-03-04,47
2020-03-05,47
2020-03-06,52
2020-03-07,63
2020-03-08,54
2020-03-09,53
2020-03-10,36
2020-03-11,42
2020-03-12,34
2020-03-13,63
2020-03-14,100
2020-03-15,79
2020-03-16,46
2020-03-17,54
2020-03-18,43
2020-03-19,40
2020-03-20,35
2020-03-21,46
2020-03-22,71
2020-03-23,29
2020-03-24,38
2020-03-25,30
2020-03-26,32
2020-03-27,35
2020-03-28,34
2020-03-29,70
2020-03-30,35
2020-03-31,27
2020-04-01,32
2020-04-02,31
2020-04-03,33
2020-04-04,43
2020-04-05,79
2020-04-06,37
2020-04-07,34
