Categoría: Todas las categorías

Día,Chiesa: (Italia)
2019-12-30,67
2019-12-31,75
2020-01-01,93
2020-01-02,73
2020-01-03,73
2020-01-04,95
2020-01-05,100
2020-01-06,85
2020-01-07,60
2020-01-08,57
2020-01-09,58
2020-01-10,63
2020-01-11,73
2020-01-12,92
2020-01-13,64
2020-01-14,62
2020-01-15,61
2020-01-16,62
2020-01-17,62
2020-01-18,84
2020-01-19,79
2020-01-20,61
2020-01-21,58
2020-01-22,56
2020-01-23,56
2020-01-24,56
2020-01-25,80
2020-01-26,73
2020-01-27,55
2020-01-28,56
2020-01-29,60
2020-01-30,53
2020-01-31,57
2020-02-01,73
2020-02-02,79
2020-02-03,58
2020-02-04,53
2020-02-05,56
2020-02-06,51
2020-02-07,52
2020-02-08,74
2020-02-09,69
2020-02-10,57
2020-02-11,59
2020-02-12,60
2020-02-13,55
2020-02-14,55
2020-02-15,76
2020-02-16,80
2020-02-17,62
2020-02-18,57
2020-02-19,57
2020-02-20,61
2020-02-21,53
2020-02-22,67
2020-02-23,71
2020-02-24,49
2020-02-25,83
2020-02-26,54
2020-02-27,47
2020-02-28,54
2020-02-29,68
2020-03-01,89
2020-03-02,55
2020-03-03,50
2020-03-04,45
2020-03-05,47
2020-03-06,48
2020-03-07,59
2020-03-08,63
2020-03-09,40
2020-03-10,40
2020-03-11,36
2020-03-12,38
2020-03-13,45
2020-03-14,46
2020-03-15,84
2020-03-16,52
2020-03-17,42
2020-03-18,45
2020-03-19,57
2020-03-20,51
2020-03-21,51
2020-03-22,60
2020-03-23,41
2020-03-24,42
2020-03-25,50
2020-03-26,43
2020-03-27,67
2020-03-28,57
2020-03-29,65
2020-03-30,42
2020-03-31,42
2020-04-01,41
2020-04-02,41
2020-04-03,48
2020-04-04,57
2020-04-05,91
2020-04-06,48
2020-04-07,46
