date,Igreja,isPartial
2018-12-30,74,False
2018-12-31,61,False
2019-01-01,78,False
2019-01-02,50,False
2019-01-03,46,False
2019-01-04,59,False
2019-01-05,72,False
2019-01-06,78,False
2019-01-07,55,False
2019-01-08,55,False
2019-01-09,60,False
2019-01-10,52,False
2019-01-11,63,False
2019-01-12,62,False
2019-01-13,84,False
2019-01-14,62,False
2019-01-15,53,False
2019-01-16,54,False
2019-01-17,54,False
2019-01-18,55,False
2019-01-19,56,False
2019-01-20,76,False
2019-01-21,44,False
2019-01-22,58,False
2019-01-23,47,False
2019-01-24,53,False
2019-01-25,48,False
2019-01-26,81,False
2019-01-27,69,False
2019-01-28,47,False
2019-01-29,49,False
2019-01-30,54,False
2019-01-31,49,False
2019-02-01,45,False
2019-02-02,68,False
2019-02-03,69,False
2019-02-04,51,False
2019-02-05,49,False
2019-02-06,57,False
2019-02-07,55,False
2019-02-08,56,False
2019-02-09,70,False
2019-02-10,72,False
2019-02-11,58,False
2019-02-12,57,False
2019-02-13,53,False
2019-02-14,49,False
2019-02-15,55,False
2019-02-16,73,False
2019-02-17,66,False
2019-02-18,55,False
2019-02-19,45,False
2019-02-20,59,False
2019-02-21,58,False
2019-02-22,52,False
2019-02-23,63,False
2019-02-24,82,False
2019-02-25,58,False
2019-02-26,60,False
2019-02-27,56,False
2019-02-28,56,False
2019-03-01,56,False
2019-03-02,59,False
2019-03-03,77,False
2019-03-04,58,False
2019-03-05,64,False
2019-03-06,91,False
2019-03-07,53,False
2019-03-08,49,False
2019-03-09,72,False
2019-03-10,80,False
2019-03-11,48,False
2019-03-12,48,False
2019-03-13,54,False
2019-03-14,57,False
2019-03-15,49,False
2019-03-16,81,False
2019-03-17,88,False
2019-03-18,64,False
2019-03-19,66,False
2019-03-20,53,False
2019-03-21,49,False
2019-03-22,56,False
2019-03-23,79,False
2019-03-24,90,False
2019-03-25,54,False
2019-03-26,56,False
2019-03-27,57,False
2019-03-28,60,False
2019-03-29,66,False
2019-03-30,69,False
2019-03-31,71,False
2019-04-01,46,False
2019-04-02,50,False
2019-04-03,58,False
2019-04-04,55,False
2019-04-05,50,False
2019-04-06,73,False
2019-04-07,100,False
2019-04-08,59,False
2019-04-09,50,False
2019-04-10,48,False
