date,Church,isPartial
2018-12-30,85,False
2018-12-31,87,False
2019-01-01,77,False
2019-01-02,68,False
2019-01-03,68,False
2019-01-04,74,False
2019-01-05,76,False
2019-01-06,88,False
2019-01-07,74,False
2019-01-08,79,False
2019-01-09,73,False
2019-01-10,71,False
2019-01-11,74,False
2019-01-12,76,False
2019-01-13,87,False
2019-01-14,77,False
2019-01-15,78,False
2019-01-16,70,False
2019-01-17,73,False
2019-01-18,71,False
2019-01-19,75,False
2019-01-20,85,False
2019-01-21,79,False
2019-01-22,78,False
2019-01-23,71,False
2019-01-24,73,False
2019-01-25,75,False
2019-01-26,84,False
2019-01-27,89,False
2019-01-28,73,False
2019-01-29,73,False
2019-01-30,67,False
2019-01-31,66,False
2019-02-01,72,False
2019-02-02,74,False
2019-02-03,87,False
2019-02-04,76,False
2019-02-05,75,False
2019-02-06,76,False
2019-02-07,79,False
2019-02-08,74,False
2019-02-09,77,False
2019-02-10,88,False
2019-02-11,80,False
2019-02-12,77,False
2019-02-13,71,False
2019-02-14,76,False
2019-02-15,72,False
2019-02-16,81,False
2019-02-17,92,False
2019-02-18,76,False
2019-02-19,73,False
2019-02-20,73,False
2019-02-21,73,False
2019-02-22,72,False
2019-02-23,79,False
2019-02-24,92,False
2019-02-25,78,False
2019-02-26,78,False
2019-02-27,71,False
2019-02-28,69,False
2019-03-01,75,False
2019-03-02,77,False
2019-03-03,91,False
2019-03-04,73,False
2019-03-05,75,False
2019-03-06,90,False
2019-03-07,73,False
2019-03-08,75,False
2019-03-09,81,False
2019-03-10,94,False
2019-03-11,76,False
2019-03-12,69,False
2019-03-13,72,False
2019-03-14,73,False
2019-03-15,82,False
2019-03-16,91,False
2019-03-17,100,False
2019-03-18,79,False
2019-03-19,75,False
2019-03-20,78,False
2019-03-21,72,False
2019-03-22,78,False
2019-03-23,82,False
2019-03-24,86,False
2019-03-25,73,False
2019-03-26,75,False
2019-03-27,76,False
2019-03-28,75,False
2019-03-29,75,False
2019-03-30,88,False
2019-03-31,89,False
2019-04-01,71,False
2019-04-02,76,False
2019-04-03,73,False
2019-04-04,73,False
2019-04-05,77,False
2019-04-06,86,False
2019-04-07,91,False
2019-04-08,70,False
2019-04-09,72,False
2019-04-10,70,False
