date,Kerk,isPartial
2019-12-30,38,False
2019-12-31,41,False
2020-01-01,39,False
2020-01-02,27,False
2020-01-03,32,False
2020-01-04,49,False
2020-01-05,56,False
2020-01-06,32,False
2020-01-07,29,False
2020-01-08,30,False
2020-01-09,28,False
2020-01-10,31,False
2020-01-11,44,False
2020-01-12,54,False
2020-01-13,31,False
2020-01-14,31,False
2020-01-15,30,False
2020-01-16,31,False
2020-01-17,34,False
2020-01-18,42,False
2020-01-19,59,False
2020-01-20,29,False
2020-01-21,31,False
2020-01-22,32,False
2020-01-23,33,False
2020-01-24,32,False
2020-01-25,45,False
2020-01-26,54,False
2020-01-27,31,False
2020-01-28,33,False
2020-01-29,29,False
2020-01-30,30,False
2020-01-31,35,False
2020-02-01,45,False
2020-02-02,64,False
2020-02-03,33,False
2020-02-04,29,False
2020-02-05,29,False
2020-02-06,32,False
2020-02-07,33,False
2020-02-08,42,False
2020-02-09,57,False
2020-02-10,31,False
2020-02-11,29,False
2020-02-12,30,False
2020-02-13,32,False
2020-02-14,35,False
2020-02-15,48,False
2020-02-16,62,False
2020-02-17,31,False
2020-02-18,33,False
2020-02-19,31,False
2020-02-20,32,False
2020-02-21,35,False
2020-02-22,46,False
2020-02-23,56,False
2020-02-24,34,False
2020-02-25,31,False
2020-02-26,33,False
2020-02-27,28,False
2020-02-28,32,False
2020-02-29,39,False
2020-03-01,51,False
2020-03-02,28,False
2020-03-03,30,False
2020-03-04,31,False
2020-03-05,29,False
2020-03-06,31,False
2020-03-07,57,False
2020-03-08,67,False
2020-03-09,28,False
2020-03-10,27,False
2020-03-11,37,False
2020-03-12,48,False
2020-03-13,72,False
2020-03-14,62,False
2020-03-15,100,False
2020-03-16,23,False
2020-03-17,24,False
2020-03-18,32,False
2020-03-19,28,False
2020-03-20,27,False
2020-03-21,35,False
2020-03-22,100,False
2020-03-23,24,False
2020-03-24,30,False
2020-03-25,33,False
2020-03-26,26,False
2020-03-27,26,False
2020-03-28,36,False
2020-03-29,84,False
2020-03-30,25,False
2020-03-31,25,False
2020-04-01,30,False
2020-04-02,30,False
2020-04-03,26,False
2020-04-04,35,False
2020-04-05,87,False
2020-04-06,31,False
2020-04-07,25,False
