date,Iglesia,isPartial
2019-12-30,65,False
2019-12-31,60,False
2020-01-01,75,False
2020-01-02,60,False
2020-01-03,61,False
2020-01-04,70,False
2020-01-05,83,False
2020-01-06,60,False
2020-01-07,53,False
2020-01-08,73,False
2020-01-09,63,False
2020-01-10,70,False
2020-01-11,77,False
2020-01-12,83,False
2020-01-13,70,False
2020-01-14,65,False
2020-01-15,63,False
2020-01-16,67,False
2020-01-17,74,False
2020-01-18,76,False
2020-01-19,80,False
2020-01-20,58,False
2020-01-21,54,False
2020-01-22,56,False
2020-01-23,58,False
2020-01-24,60,False
2020-01-25,74,False
2020-01-26,82,False
2020-01-27,56,False
2020-01-28,69,False
2020-01-29,66,False
2020-01-30,64,False
2020-01-31,74,False
2020-02-01,76,False
2020-02-02,88,False
2020-02-03,67,False
2020-02-04,64,False
2020-02-05,65,False
2020-02-06,63,False
2020-02-07,68,False
2020-02-08,81,False
2020-02-09,86,False
2020-02-10,64,False
2020-02-11,66,False
2020-02-12,64,False
2020-02-13,68,False
2020-02-14,69,False
2020-02-15,89,False
2020-02-16,90,False
2020-02-17,68,False
2020-02-18,67,False
2020-02-19,68,False
2020-02-20,72,False
2020-02-21,71,False
2020-02-22,88,False
2020-02-23,93,False
2020-02-24,70,False
2020-02-25,75,False
2020-02-26,92,False
2020-02-27,67,False
2020-02-28,73,False
2020-02-29,86,False
2020-03-01,100,False
2020-03-02,82,False
2020-03-03,74,False
2020-03-04,71,False
2020-03-05,66,False
2020-03-06,76,False
2020-03-07,87,False
2020-03-08,92,False
2020-03-09,63,False
2020-03-10,56,False
2020-03-11,50,False
2020-03-12,46,False
2020-03-13,42,False
2020-03-14,52,False
2020-03-15,53,False
2020-03-16,40,False
2020-03-17,45,False
2020-03-18,44,False
2020-03-19,52,False
2020-03-20,47,False
2020-03-21,54,False
2020-03-22,67,False
2020-03-23,54,False
2020-03-24,49,False
2020-03-25,52,False
2020-03-26,52,False
2020-03-27,54,False
2020-03-28,49,False
2020-03-29,64,False
2020-03-30,50,False
2020-03-31,55,False
2020-04-01,57,False
2020-04-02,56,False
2020-04-03,52,False
2020-04-04,60,False
2020-04-05,85,False
2020-04-06,57,False
2020-04-07,58,False
