date,Religion,isPartial
2019-12-30,65,False
2019-12-31,70,False
2020-01-01,70,False
2020-01-02,57,False
2020-01-03,67,False
2020-01-04,85,False
2020-01-05,90,False
2020-01-06,97,False
2020-01-07,84,False
2020-01-08,100,False
2020-01-09,74,False
2020-01-10,99,False
2020-01-11,66,False
2020-01-12,59,False
2020-01-13,85,False
2020-01-14,79,False
2020-01-15,86,False
2020-01-16,92,False
2020-01-17,52,False
2020-01-18,60,False
2020-01-19,69,False
2020-01-20,98,False
2020-01-21,76,False
2020-01-22,70,False
2020-01-23,88,False
2020-01-24,90,False
2020-01-25,59,False
2020-01-26,71,False
2020-01-27,79,False
2020-01-28,67,False
2020-01-29,80,False
2020-01-30,68,False
2020-01-31,57,False
2020-02-01,48,False
2020-02-02,68,False
2020-02-03,73,False
2020-02-04,64,False
2020-02-05,75,False
2020-02-06,69,False
2020-02-07,75,False
2020-02-08,63,False
2020-02-09,46,False
2020-02-10,64,False
2020-02-11,69,False
2020-02-12,78,False
2020-02-13,60,False
2020-02-14,67,False
2020-02-15,53,False
2020-02-16,50,False
2020-02-17,42,False
2020-02-18,49,False
2020-02-19,52,False
2020-02-20,58,False
2020-02-21,32,False
2020-02-22,62,False
2020-02-23,63,False
2020-02-24,81,False
2020-02-25,76,False
2020-02-26,77,False
2020-02-27,67,False
2020-02-28,70,False
2020-02-29,60,False
2020-03-01,63,False
2020-03-02,95,False
2020-03-03,62,False
2020-03-04,66,False
2020-03-05,62,False
2020-03-06,50,False
2020-03-07,49,False
2020-03-08,54,False
2020-03-09,61,False
2020-03-10,62,False
2020-03-11,55,False
2020-03-12,49,False
2020-03-13,59,False
2020-03-14,58,False
2020-03-15,43,False
2020-03-16,69,False
2020-03-17,68,False
2020-03-18,84,False
2020-03-19,61,False
2020-03-20,72,False
2020-03-21,50,False
2020-03-22,54,False
2020-03-23,72,False
2020-03-24,80,False
2020-03-25,80,False
2020-03-26,65,False
2020-03-27,78,False
2020-03-28,47,False
2020-03-29,46,False
2020-03-30,80,False
2020-03-31,83,False
2020-04-01,76,False
2020-04-02,98,False
2020-04-03,77,False
2020-04-04,86,False
2020-04-05,50,False
2020-04-06,53,False
2020-04-07,52,False
