date,Religion,isPartial
2018-12-30,71,False
2019-01-06,81,False
2019-01-13,82,False
2019-01-20,84,False
2019-01-27,80,False
2019-02-03,79,False
2019-02-10,81,False
2019-02-17,82,False
2019-02-24,79,False
2019-03-03,80,False
2019-03-10,100,False
2019-03-17,81,False
2019-03-24,91,False
2019-03-31,85,False
2019-04-07,80,False
2019-04-14,73,False
2019-04-21,95,False
2019-04-28,90,False
2019-05-05,94,False
2019-05-12,96,False
2019-05-19,94,False
2019-05-26,79,False
2019-06-02,77,False
2019-06-09,67,False
2019-06-16,67,False
2019-06-23,65,False
2019-06-30,65,False
2019-07-07,60,False
2019-07-14,56,False
2019-07-21,50,False
2019-07-28,57,False
2019-08-04,55,False
2019-08-11,72,False
2019-08-18,74,False
2019-08-25,77,False
2019-09-01,80,False
2019-09-08,86,False
2019-09-15,84,False
2019-09-22,81,False
2019-09-29,69,False
2019-10-06,74,False
2019-10-13,76,False
2019-10-20,81,False
2019-10-27,79,False
2019-11-03,79,False
2019-11-10,89,False
2019-11-17,83,False
2019-11-24,84,False
2019-12-01,85,False
2019-12-08,88,False
2019-12-15,81,False
2019-12-22,86,False
2019-12-29,71,False
2020-01-05,88,False
2020-01-12,87,False
2020-01-19,92,False
2020-01-26,92,False
2020-02-02,76,False
2020-02-09,74,False
2020-02-16,77,False
2020-02-23,75,False
2020-03-01,88,False
2020-03-08,68,False
2020-03-15,62,False
2020-03-22,74,False
2020-03-29,74,False
2020-04-05,74,False
