Categoría: Religión y creencias

Día,Fe: (Alemania)
2018-12-30,79
2018-12-31,84
2019-01-01,63
2019-01-02,55
2019-01-03,48
2019-01-04,51
2019-01-05,58
2019-01-06,100
2019-01-07,77
2019-01-08,79
2019-01-09,64
2019-01-10,66
2019-01-11,75
2019-01-12,55
2019-01-13,89
2019-01-14,63
2019-01-15,72
2019-01-16,63
2019-01-17,73
2019-01-18,61
2019-01-19,57
2019-01-20,91
2019-01-21,65
2019-01-22,67
2019-01-23,87
2019-01-24,55
2019-01-25,48
2019-01-26,71
2019-01-27,84
2019-01-28,50
2019-01-29,62
2019-01-30,75
2019-01-31,48
2019-02-01,72
2019-02-02,60
2019-02-03,83
2019-02-04,63
2019-02-05,51
2019-02-06,67
2019-02-07,41
2019-02-08,68
2019-02-09,47
2019-02-10,79
2019-02-11,50
2019-02-12,61
2019-02-13,67
2019-02-14,70
2019-02-15,64
2019-02-16,77
2019-02-17,60
2019-02-18,55
2019-02-19,63
2019-02-20,50
2019-02-21,66
2019-02-22,70
2019-02-23,60
2019-02-24,87
2019-02-25,44
2019-02-26,57
2019-02-27,62
2019-02-28,62
2019-03-01,61
2019-03-02,56
2019-03-03,63
2019-03-04,58
2019-03-05,46
2019-03-06,76
2019-03-07,60
2019-03-08,54
2019-03-09,52
2019-03-10,63
2019-03-11,76
2019-03-12,80
2019-03-13,75
2019-03-14,62
2019-03-15,70
2019-03-16,59
2019-03-17,73
2019-03-18,65
2019-03-19,81
2019-03-20,59
2019-03-21,46
2019-03-22,64
2019-03-23,67
2019-03-24,62
2019-03-25,76
2019-03-26,68
2019-03-27,71
2019-03-28,74
2019-03-29,65
2019-03-30,77
2019-03-31,79
2019-04-01,51
2019-04-02,57
2019-04-03,70
2019-04-04,74
2019-04-05,73
2019-04-06,79
2019-04-07,85
2019-04-08,44
2019-04-09,64
2019-04-10,56
