Categoría: Religión y creencias

Día,Dios: (Bélgica)
2018-12-30,53
2018-12-31,71
2019-01-01,85
2019-01-02,40
2019-01-03,67
2019-01-04,60
2019-01-05,63
2019-01-06,47
2019-01-07,50
2019-01-08,53
2019-01-09,0
2019-01-10,65
2019-01-11,78
2019-01-12,57
2019-01-13,82
2019-01-14,74
2019-01-15,68
2019-01-16,66
2019-01-17,48
2019-01-18,69
2019-01-19,47
2019-01-20,36
2019-01-21,35
2019-01-22,59
2019-01-23,51
2019-01-24,39
2019-01-25,42
2019-01-26,46
2019-01-27,74
2019-01-28,0
2019-01-29,0
2019-01-30,58
2019-01-31,58
2019-02-01,53
2019-02-02,47
2019-02-03,55
2019-02-04,48
2019-02-05,38
2019-02-06,49
2019-02-07,65
2019-02-08,40
2019-02-09,62
2019-02-10,53
2019-02-11,94
2019-02-12,34
2019-02-13,61
2019-02-14,82
2019-02-15,64
2019-02-16,80
2019-02-17,88
2019-02-18,57
2019-02-19,50
2019-02-20,51
2019-02-21,61
2019-02-22,39
2019-02-23,63
2019-02-24,53
2019-02-25,48
2019-02-26,50
2019-02-27,42
2019-02-28,0
2019-03-01,52
2019-03-02,61
2019-03-03,55
2019-03-04,48
2019-03-05,46
2019-03-06,53
2019-03-07,0
2019-03-08,61
2019-03-09,0
2019-03-10,48
2019-03-11,49
2019-03-12,57
2019-03-13,58
2019-03-14,51
2019-03-15,73
2019-03-16,46
2019-03-17,100
2019-03-18,0
2019-03-19,50
2019-03-20,54
2019-03-21,48
2019-03-22,51
2019-03-23,43
2019-03-24,68
2019-03-25,34
2019-03-26,44
2019-03-27,43
2019-03-28,51
2019-03-29,55
2019-03-30,70
2019-03-31,56
2019-04-01,66
2019-04-02,61
2019-04-03,69
2019-04-04,0
2019-04-05,40
2019-04-06,74
2019-04-07,51
2019-04-08,62
2019-04-09,66
2019-04-10,42
