Categoría: Religión y creencias

Día,Dios: (Suiza)
2018-12-30,94
2018-12-31,72
2019-01-01,71
2019-01-02,55
2019-01-03,49
2019-01-04,87
2019-01-05,0
2019-01-06,85
2019-01-07,53
2019-01-08,99
2019-01-09,0
2019-01-10,51
2019-01-11,65
2019-01-12,65
2019-01-13,44
2019-01-14,56
2019-01-15,32
2019-01-16,50
2019-01-17,60
2019-01-18,51
2019-01-19,74
2019-01-20,78
2019-01-21,48
2019-01-22,67
2019-01-23,57
2019-01-24,85
2019-01-25,56
2019-01-26,40
2019-01-27,60
2019-01-28,71
2019-01-29,56
2019-01-30,54
2019-01-31,59
2019-02-01,43
2019-02-02,71
2019-02-03,57
2019-02-04,57
2019-02-05,67
2019-02-06,62
2019-02-07,58
2019-02-08,56
2019-02-09,63
2019-02-10,72
2019-02-11,85
2019-02-12,65
2019-02-13,63
2019-02-14,48
2019-02-15,74
2019-02-16,57
2019-02-17,80
2019-02-18,47
2019-02-19,100
2019-02-20,92
2019-02-21,70
2019-02-22,74
2019-02-23,50
2019-02-24,66
2019-02-25,39
2019-02-26,70
2019-02-27,35
2019-02-28,59
2019-03-01,72
2019-03-02,70
2019-03-03,93
2019-03-04,64
2019-03-05,77
2019-03-06,59
2019-03-07,71
2019-03-08,52
2019-03-09,91
2019-03-10,63
2019-03-11,58
2019-03-12,52
2019-03-13,43
2019-03-14,48
2019-03-15,61
2019-03-16,70
2019-03-17,93
2019-03-18,71
2019-03-19,73
2019-03-20,61
2019-03-21,50
2019-03-22,74
2019-03-23,93
2019-03-24,79
2019-03-25,48
2019-03-26,49
2019-03-27,75
2019-03-28,52
2019-03-29,54
2019-03-30,61
2019-03-31,59
2019-04-01,58
2019-04-02,59
2019-04-03,69
2019-04-04,52
2019-04-05,67
2019-04-06,59
2019-04-07,51
2019-04-08,76
2019-04-09,60
2019-04-10,61
