Categoría: Religión y creencias

Día,Dios: (Francia)
2018-12-30,88
2018-12-31,87
2019-01-01,77
2019-01-02,74
2019-01-03,76
2019-01-04,78
2019-01-05,71
2019-01-06,100
2019-01-07,68
2019-01-08,74
2019-01-09,63
2019-01-10,70
2019-01-11,78
2019-01-12,84
2019-01-13,89
2019-01-14,66
2019-01-15,66
2019-01-16,76
2019-01-17,80
2019-01-18,84
2019-01-19,76
2019-01-20,77
2019-01-21,67
2019-01-22,69
2019-01-23,75
2019-01-24,63
2019-01-25,75
2019-01-26,74
2019-01-27,81
2019-01-28,63
2019-01-29,68
2019-01-30,55
2019-01-31,84
2019-02-01,84
2019-02-02,83
2019-02-03,80
2019-02-04,65
2019-02-05,70
2019-02-06,82
2019-02-07,68
2019-02-08,68
2019-02-09,81
2019-02-10,81
2019-02-11,72
2019-02-12,65
2019-02-13,73
2019-02-14,73
2019-02-15,85
2019-02-16,82
2019-02-17,86
2019-02-18,67
2019-02-19,64
2019-02-20,72
2019-02-21,75
2019-02-22,57
2019-02-23,84
2019-02-24,87
2019-02-25,61
2019-02-26,63
2019-02-27,75
2019-02-28,77
2019-03-01,83
2019-03-02,61
2019-03-03,85
2019-03-04,57
2019-03-05,79
2019-03-06,67
2019-03-07,76
2019-03-08,77
2019-03-09,78
2019-03-10,87
2019-03-11,61
2019-03-12,74
2019-03-13,68
2019-03-14,69
2019-03-15,97
2019-03-16,69
2019-03-17,97
2019-03-18,82
2019-03-19,80
2019-03-20,66
2019-03-21,78
2019-03-22,75
2019-03-23,81
2019-03-24,84
2019-03-25,76
2019-03-26,85
2019-03-27,62
2019-03-28,92
2019-03-29,74
2019-03-30,83
2019-03-31,86
2019-04-01,56
2019-04-02,78
2019-04-03,71
2019-04-04,65
2019-04-05,86
2019-04-06,76
2019-04-07,84
2019-04-08,76
2019-04-09,70
2019-04-10,65
