Categoría: Religión y creencias

Día,Dios: (Portugal)
2018-12-30,45
2018-12-31,79
2019-01-01,91
2019-01-02,83
2019-01-03,58
2019-01-04,0
2019-01-05,64
2019-01-06,69
2019-01-07,0
2019-01-08,57
2019-01-09,47
2019-01-10,59
2019-01-11,0
2019-01-12,87
2019-01-13,83
2019-01-14,55
2019-01-15,70
2019-01-16,85
2019-01-17,54
2019-01-18,53
2019-01-19,63
2019-01-20,58
2019-01-21,57
2019-01-22,33
2019-01-23,55
2019-01-24,51
2019-01-25,41
2019-01-26,99
2019-01-27,0
2019-01-28,0
2019-01-29,53
2019-01-30,58
2019-01-31,64
2019-02-01,41
2019-02-02,100
2019-02-03,74
2019-02-04,0
2019-02-05,55
2019-02-06,70
2019-02-07,45
2019-02-08,43
2019-02-09,68
2019-02-10,79
2019-02-11,79
2019-02-12,67
2019-02-13,56
2019-02-14,63
2019-02-15,67
2019-02-16,80
2019-02-17,79
2019-02-18,48
2019-02-19,52
2019-02-20,90
2019-02-21,55
2019-02-22,83
2019-02-23,80
2019-02-24,0
2019-02-25,58
2019-02-26,53
2019-02-27,48
2019-02-28,65
2019-03-01,70
2019-03-02,76
2019-03-03,53
2019-03-04,60
2019-03-05,66
2019-03-06,52
2019-03-07,47
2019-03-08,44
2019-03-09,95
2019-03-10,79
2019-03-11,0
2019-03-12,61
2019-03-13,47
2019-03-14,54
2019-03-15,0
2019-03-16,56
2019-03-17,69
2019-03-18,68
2019-03-19,47
2019-03-20,38
2019-03-21,61
2019-03-22,65
2019-03-23,60
2019-03-24,97
2019-03-25,52
2019-03-26,62
2019-03-27,45
2019-03-28,42
2019-03-29,43
2019-03-30,92
2019-03-31,100
2019-04-01,46
2019-04-02,44
2019-04-03,50
2019-04-04,34
2019-04-05,74
2019-04-06,79
2019-04-07,58
2019-04-08,58
2019-04-09,59
2019-04-10,58
