Categoría: Religión y creencias

Día,Dios: (España)
2018-12-30,71
2018-12-31,59
2019-01-01,65
2019-01-02,53
2019-01-03,54
2019-01-04,61
2019-01-05,58
2019-01-06,56
2019-01-07,58
2019-01-08,64
2019-01-09,66
2019-01-10,68
2019-01-11,80
2019-01-12,69
2019-01-13,87
2019-01-14,71
2019-01-15,69
2019-01-16,67
2019-01-17,70
2019-01-18,73
2019-01-19,65
2019-01-20,77
2019-01-21,58
2019-01-22,80
2019-01-23,69
2019-01-24,62
2019-01-25,50
2019-01-26,59
2019-01-27,73
2019-01-28,67
2019-01-29,59
2019-01-30,66
2019-01-31,63
2019-02-01,66
2019-02-02,58
2019-02-03,75
2019-02-04,59
2019-02-05,56
2019-02-06,68
2019-02-07,63
2019-02-08,71
2019-02-09,63
2019-02-10,83
2019-02-11,72
2019-02-12,67
2019-02-13,69
2019-02-14,73
2019-02-15,68
2019-02-16,75
2019-02-17,76
2019-02-18,74
2019-02-19,75
2019-02-20,62
2019-02-21,66
2019-02-22,65
2019-02-23,74
2019-02-24,77
2019-02-25,74
2019-02-26,73
2019-02-27,67
2019-02-28,64
2019-03-01,55
2019-03-02,57
2019-03-03,64
2019-03-04,73
2019-03-05,68
2019-03-06,60
2019-03-07,65
2019-03-08,66
2019-03-09,68
2019-03-10,75
2019-03-11,65
2019-03-12,60
2019-03-13,62
2019-03-14,61
2019-03-15,83
2019-03-16,100
2019-03-17,86
2019-03-18,82
2019-03-19,78
2019-03-20,71
2019-03-21,67
2019-03-22,63
2019-03-23,76
2019-03-24,75
2019-03-25,71
2019-03-26,62
2019-03-27,65
2019-03-28,70
2019-03-29,66
2019-03-30,70
2019-03-31,70
2019-04-01,60
2019-04-02,62
2019-04-03,65
2019-04-04,69
2019-04-05,50
2019-04-06,65
2019-04-07,71
2019-04-08,60
2019-04-09,66
2019-04-10,61
