Categoría: Religión y creencias

Día,Dios: (Reino Unido)
2019-12-30,53
2019-12-31,62
2020-01-01,65
2020-01-02,57
2020-01-03,57
2020-01-04,66
2020-01-05,75
2020-01-06,59
2020-01-07,63
2020-01-08,63
2020-01-09,72
2020-01-10,64
2020-01-11,70
2020-01-12,76
2020-01-13,66
2020-01-14,71
2020-01-15,72
2020-01-16,76
2020-01-17,63
2020-01-18,73
2020-01-19,76
2020-01-20,80
2020-01-21,67
2020-01-22,71
2020-01-23,76
2020-01-24,70
2020-01-25,72
2020-01-26,83
2020-01-27,69
2020-01-28,72
2020-01-29,67
2020-01-30,75
2020-01-31,61
2020-02-01,67
2020-02-02,79
2020-02-03,68
2020-02-04,69
2020-02-05,72
2020-02-06,63
2020-02-07,65
2020-02-08,73
2020-02-09,80
2020-02-10,66
2020-02-11,68
2020-02-12,73
2020-02-13,82
2020-02-14,67
2020-02-15,64
2020-02-16,72
2020-02-17,63
2020-02-18,56
2020-02-19,65
2020-02-20,65
2020-02-21,62
2020-02-22,63
2020-02-23,84
2020-02-24,71
2020-02-25,68
2020-02-26,66
2020-02-27,66
2020-02-28,65
2020-02-29,68
2020-03-01,75
2020-03-02,67
2020-03-03,69
2020-03-04,76
2020-03-05,69
2020-03-06,72
2020-03-07,69
2020-03-08,78
2020-03-09,61
2020-03-10,73
2020-03-11,66
2020-03-12,67
2020-03-13,68
2020-03-14,77
2020-03-15,85
2020-03-16,67
2020-03-17,73
2020-03-18,71
2020-03-19,61
2020-03-20,81
2020-03-21,66
2020-03-22,85
2020-03-23,82
2020-03-24,84
2020-03-25,87
2020-03-26,87
2020-03-27,91
2020-03-28,84
2020-03-29,89
2020-03-30,88
2020-03-31,83
2020-04-01,87
2020-04-02,92
2020-04-03,81
2020-04-04,84
2020-04-05,100
2020-04-06,80
2020-04-07,81
