Categoría: Religión y creencias

Semana,Dios: (Austria)
2018-12-30,66
2019-01-06,55
2019-01-13,60
2019-01-20,61
2019-01-27,65
2019-02-03,84
2019-02-10,63
2019-02-17,63
2019-02-24,57
2019-03-03,61
2019-03-10,55
2019-03-17,76
2019-03-24,57
2019-03-31,73
2019-04-07,66
2019-04-14,54
2019-04-21,68
2019-04-28,59
2019-05-05,72
2019-05-12,62
2019-05-19,65
2019-05-26,63
2019-06-02,69
2019-06-09,57
2019-06-16,70
2019-06-23,67
2019-06-30,60
2019-07-07,58
2019-07-14,60
2019-07-21,58
2019-07-28,66
2019-08-04,62
2019-08-11,61
2019-08-18,50
2019-08-25,55
2019-09-01,58
2019-09-08,55
2019-09-15,63
2019-09-22,62
2019-09-29,56
2019-10-06,65
2019-10-13,75
2019-10-20,58
2019-10-27,60
2019-11-03,67
2019-11-10,59
2019-11-17,65
2019-11-24,54
2019-12-01,73
2019-12-08,61
2019-12-15,59
2019-12-22,69
2019-12-29,67
2020-01-05,68
2020-01-12,63
2020-01-19,69
2020-01-26,57
2020-02-02,64
2020-02-09,62
2020-02-16,61
2020-02-23,67
2020-03-01,74
2020-03-08,58
2020-03-15,86
2020-03-22,92
2020-03-29,82
2020-04-05,100
