Categoría: Religión y creencias

Semana,Dios: (Portugal)
2018-12-30,66
2019-01-06,62
2019-01-13,65
2019-01-20,58
2019-01-27,61
2019-02-03,59
2019-02-10,67
2019-02-17,63
2019-02-24,63
2019-03-03,51
2019-03-10,52
2019-03-17,66
2019-03-24,59
2019-03-31,62
2019-04-07,63
2019-04-14,62
2019-04-21,63
2019-04-28,61
2019-05-05,63
2019-05-12,64
2019-05-19,56
2019-05-26,66
2019-06-02,70
2019-06-09,67
2019-06-16,70
2019-06-23,66
2019-06-30,57
2019-07-07,58
2019-07-14,59
2019-07-21,62
2019-07-28,57
2019-08-04,62
2019-08-11,53
2019-08-18,51
2019-08-25,68
2019-09-01,52
2019-09-08,57
2019-09-15,64
2019-09-22,51
2019-09-29,61
2019-10-06,59
2019-10-13,58
2019-10-20,71
2019-10-27,68
2019-11-03,61
2019-11-10,58
2019-11-17,57
2019-11-24,54
2019-12-01,57
2019-12-08,61
2019-12-15,65
2019-12-22,68
2019-12-29,70
2020-01-05,58
2020-01-12,64
2020-01-19,86
2020-01-26,64
2020-02-02,64
2020-02-09,71
2020-02-16,78
2020-02-23,69
2020-03-01,66
2020-03-08,62
2020-03-15,92
2020-03-22,91
2020-03-29,81
2020-04-05,100
