Categoría: Religión y creencias

Semana,Dios: (España)
2018-12-30,60
2019-01-06,65
2019-01-13,71
2019-01-20,65
2019-01-27,63
2019-02-03,63
2019-02-10,72
2019-02-17,66
2019-02-24,64
2019-03-03,65
2019-03-10,71
2019-03-17,74
2019-03-24,66
2019-03-31,62
2019-04-07,61
2019-04-14,71
2019-04-21,64
2019-04-28,65
2019-05-05,65
2019-05-12,66
2019-05-19,72
2019-05-26,65
2019-06-02,72
2019-06-09,70
2019-06-16,68
2019-06-23,62
2019-06-30,61
2019-07-07,58
2019-07-14,62
2019-07-21,60
2019-07-28,58
2019-08-04,63
2019-08-11,60
2019-08-18,58
2019-08-25,60
2019-09-01,55
2019-09-08,56
2019-09-15,57
2019-09-22,60
2019-09-29,67
2019-10-06,67
2019-10-13,65
2019-10-20,71
2019-10-27,64
2019-11-03,70
2019-11-10,70
2019-11-17,72
2019-11-24,69
2019-12-01,74
2019-12-08,64
2019-12-15,63
2019-12-22,66
2019-12-29,60
2020-01-05,59
2020-01-12,69
2020-01-19,72
2020-01-26,68
2020-02-02,71
2020-02-09,73
2020-02-16,75
2020-02-23,73
2020-03-01,77
2020-03-08,69
2020-03-15,95
2020-03-22,96
2020-03-29,91
2020-04-05,100
