Categoría: Religión y creencias

Día,Oración: (Bélgica)
2018-12-30,56
2018-12-31,49
2019-01-01,56
2019-01-02,47
2019-01-03,48
2019-01-04,50
2019-01-05,45
2019-01-06,53
2019-01-07,46
2019-01-08,38
2019-01-09,39
2019-01-10,41
2019-01-11,49
2019-01-12,47
2019-01-13,58
2019-01-14,50
2019-01-15,47
2019-01-16,37
2019-01-17,44
2019-01-18,52
2019-01-19,53
2019-01-20,54
2019-01-21,53
2019-01-22,38
2019-01-23,47
2019-01-24,39
2019-01-25,46
2019-01-26,42
2019-01-27,57
2019-01-28,43
2019-01-29,39
2019-01-30,39
2019-01-31,44
2019-02-01,61
2019-02-02,51
2019-02-03,57
2019-02-04,46
2019-02-05,47
2019-02-06,52
2019-02-07,43
2019-02-08,50
2019-02-09,46
2019-02-10,59
2019-02-11,51
2019-02-12,46
2019-02-13,44
2019-02-14,51
2019-02-15,60
2019-02-16,47
2019-02-17,60
2019-02-18,46
2019-02-19,44
2019-02-20,47
2019-02-21,46
2019-02-22,46
2019-02-23,53
2019-02-24,55
2019-02-25,43
2019-02-26,44
2019-02-27,41
2019-02-28,47
2019-03-01,67
2019-03-02,52
2019-03-03,69
2019-03-04,47
2019-03-05,52
2019-03-06,43
2019-03-07,63
2019-03-08,61
2019-03-09,56
2019-03-10,57
2019-03-11,47
2019-03-12,42
2019-03-13,45
2019-03-14,49
2019-03-15,60
2019-03-16,52
2019-03-17,62
2019-03-18,40
2019-03-19,43
2019-03-20,46
2019-03-21,48
2019-03-22,58
2019-03-23,54
2019-03-24,57
2019-03-25,47
2019-03-26,48
2019-03-27,50
2019-03-28,54
2019-03-29,57
2019-03-30,58
2019-03-31,100
2019-04-01,75
2019-04-02,62
2019-04-03,52
2019-04-04,61
2019-04-05,54
2019-04-06,58
2019-04-07,64
2019-04-08,55
2019-04-09,50
2019-04-10,49
