Categoría: Religión y creencias

Día,Oración: (Reino Unido)
2018-12-30,55
2018-12-31,63
2019-01-01,66
2019-01-02,57
2019-01-03,54
2019-01-04,67
2019-01-05,60
2019-01-06,60
2019-01-07,65
2019-01-08,57
2019-01-09,57
2019-01-10,58
2019-01-11,70
2019-01-12,57
2019-01-13,60
2019-01-14,57
2019-01-15,57
2019-01-16,53
2019-01-17,59
2019-01-18,64
2019-01-19,59
2019-01-20,58
2019-01-21,63
2019-01-22,57
2019-01-23,56
2019-01-24,58
2019-01-25,64
2019-01-26,64
2019-01-27,62
2019-01-28,62
2019-01-29,58
2019-01-30,57
2019-01-31,56
2019-02-01,66
2019-02-02,59
2019-02-03,63
2019-02-04,66
2019-02-05,64
2019-02-06,52
2019-02-07,60
2019-02-08,63
2019-02-09,60
2019-02-10,67
2019-02-11,59
2019-02-12,57
2019-02-13,60
2019-02-14,59
2019-02-15,66
2019-02-16,61
2019-02-17,62
2019-02-18,59
2019-02-19,55
2019-02-20,57
2019-02-21,59
2019-02-22,76
2019-02-23,58
2019-02-24,66
2019-02-25,62
2019-02-26,60
2019-02-27,55
2019-02-28,57
2019-03-01,76
2019-03-02,62
2019-03-03,69
2019-03-04,64
2019-03-05,67
2019-03-06,67
2019-03-07,65
2019-03-08,69
2019-03-09,62
2019-03-10,63
2019-03-11,61
2019-03-12,65
2019-03-13,58
2019-03-14,67
2019-03-15,78
2019-03-16,64
2019-03-17,74
2019-03-18,68
2019-03-19,58
2019-03-20,60
2019-03-21,60
2019-03-22,75
2019-03-23,63
2019-03-24,68
2019-03-25,72
2019-03-26,68
2019-03-27,67
2019-03-28,62
2019-03-29,75
2019-03-30,65
2019-03-31,100
2019-04-01,77
2019-04-02,74
2019-04-03,76
2019-04-04,75
2019-04-05,77
2019-04-06,62
2019-04-07,71
2019-04-08,63
2019-04-09,55
2019-04-10,60
