Categoría: Religión y creencias

Día,Oración: (Irlanda)
2018-12-30,76
2018-12-31,75
2019-01-01,59
2019-01-02,57
2019-01-03,57
2019-01-04,68
2019-01-05,67
2019-01-06,69
2019-01-07,75
2019-01-08,72
2019-01-09,78
2019-01-10,80
2019-01-11,65
2019-01-12,56
2019-01-13,79
2019-01-14,60
2019-01-15,50
2019-01-16,80
2019-01-17,48
2019-01-18,63
2019-01-19,52
2019-01-20,61
2019-01-21,61
2019-01-22,79
2019-01-23,78
2019-01-24,59
2019-01-25,57
2019-01-26,61
2019-01-27,52
2019-01-28,58
2019-01-29,67
2019-01-30,72
2019-01-31,66
2019-02-01,88
2019-02-02,75
2019-02-03,69
2019-02-04,69
2019-02-05,62
2019-02-06,63
2019-02-07,83
2019-02-08,59
2019-02-09,56
2019-02-10,82
2019-02-11,85
2019-02-12,78
2019-02-13,45
2019-02-14,76
2019-02-15,80
2019-02-16,84
2019-02-17,67
2019-02-18,81
2019-02-19,61
2019-02-20,76
2019-02-21,78
2019-02-22,60
2019-02-23,78
2019-02-24,60
2019-02-25,74
2019-02-26,70
2019-02-27,67
2019-02-28,85
2019-03-01,97
2019-03-02,57
2019-03-03,78
2019-03-04,71
2019-03-05,87
2019-03-06,100
2019-03-07,80
2019-03-08,77
2019-03-09,77
2019-03-10,69
2019-03-11,90
2019-03-12,81
2019-03-13,78
2019-03-14,80
2019-03-15,83
2019-03-16,76
2019-03-17,74
2019-03-18,45
2019-03-19,85
2019-03-20,65
2019-03-21,81
2019-03-22,85
2019-03-23,79
2019-03-24,75
2019-03-25,81
2019-03-26,80
2019-03-27,74
2019-03-28,69
2019-03-29,77
2019-03-30,74
2019-03-31,93
2019-04-01,71
2019-04-02,89
2019-04-03,77
2019-04-04,72
2019-04-05,74
2019-04-06,59
2019-04-07,79
2019-04-08,75
2019-04-09,46
2019-04-10,97
