Categoría: Religión y creencias

Día,Oración: (Italia)
2018-12-30,69
2018-12-31,69
2019-01-01,75
2019-01-02,63
2019-01-03,63
2019-01-04,75
2019-01-05,65
2019-01-06,77
2019-01-07,65
2019-01-08,69
2019-01-09,69
2019-01-10,71
2019-01-11,75
2019-01-12,66
2019-01-13,68
2019-01-14,71
2019-01-15,74
2019-01-16,74
2019-01-17,81
2019-01-18,76
2019-01-19,70
2019-01-20,79
2019-01-21,67
2019-01-22,65
2019-01-23,70
2019-01-24,76
2019-01-25,71
2019-01-26,77
2019-01-27,68
2019-01-28,70
2019-01-29,68
2019-01-30,73
2019-01-31,70
2019-02-01,70
2019-02-02,68
2019-02-03,72
2019-02-04,72
2019-02-05,75
2019-02-06,68
2019-02-07,67
2019-02-08,74
2019-02-09,75
2019-02-10,70
2019-02-11,89
2019-02-12,70
2019-02-13,73
2019-02-14,71
2019-02-15,76
2019-02-16,72
2019-02-17,83
2019-02-18,69
2019-02-19,74
2019-02-20,76
2019-02-21,85
2019-02-22,77
2019-02-23,84
2019-02-24,78
2019-02-25,70
2019-02-26,75
2019-02-27,77
2019-02-28,74
2019-03-01,71
2019-03-02,74
2019-03-03,79
2019-03-04,67
2019-03-05,76
2019-03-06,72
2019-03-07,73
2019-03-08,77
2019-03-09,79
2019-03-10,80
2019-03-11,79
2019-03-12,77
2019-03-13,79
2019-03-14,79
2019-03-15,78
2019-03-16,77
2019-03-17,79
2019-03-18,86
2019-03-19,100
2019-03-20,82
2019-03-21,79
2019-03-22,78
2019-03-23,83
2019-03-24,83
2019-03-25,83
2019-03-26,80
2019-03-27,80
2019-03-28,76
2019-03-29,84
2019-03-30,86
2019-03-31,86
2019-04-01,83
2019-04-02,80
2019-04-03,78
2019-04-04,79
2019-04-05,84
2019-04-06,86
2019-04-07,75
2019-04-08,81
2019-04-09,79
2019-04-10,80
