Categoría: Religión y creencias

Día,Oración: (Portugal)
2019-12-30,48
2019-12-31,60
2020-01-01,71
2020-01-02,41
2020-01-03,49
2020-01-04,50
2020-01-05,47
2020-01-06,50
2020-01-07,48
2020-01-08,49
2020-01-09,55
2020-01-10,48
2020-01-11,52
2020-01-12,52
2020-01-13,43
2020-01-14,57
2020-01-15,50
2020-01-16,62
2020-01-17,47
2020-01-18,52
2020-01-19,54
2020-01-20,54
2020-01-21,58
2020-01-22,53
2020-01-23,57
2020-01-24,61
2020-01-25,58
2020-01-26,53
2020-01-27,54
2020-01-28,55
2020-01-29,59
2020-01-30,56
2020-01-31,59
2020-02-01,55
2020-02-02,65
2020-02-03,53
2020-02-04,55
2020-02-05,59
2020-02-06,58
2020-02-07,67
2020-02-08,60
2020-02-09,60
2020-02-10,55
2020-02-11,60
2020-02-12,60
2020-02-13,50
2020-02-14,45
2020-02-15,52
2020-02-16,54
2020-02-17,61
2020-02-18,63
2020-02-19,69
2020-02-20,61
2020-02-21,55
2020-02-22,64
2020-02-23,57
2020-02-24,49
2020-02-25,63
2020-02-26,53
2020-02-27,59
2020-02-28,58
2020-02-29,67
2020-03-01,55
2020-03-02,58
2020-03-03,63
2020-03-04,58
2020-03-05,65
2020-03-06,60
2020-03-07,55
2020-03-08,62
2020-03-09,54
2020-03-10,58
2020-03-11,44
2020-03-12,54
2020-03-13,44
2020-03-14,66
2020-03-15,68
2020-03-16,60
2020-03-17,55
2020-03-18,64
2020-03-19,73
2020-03-20,58
2020-03-21,82
2020-03-22,74
2020-03-23,67
2020-03-24,62
2020-03-25,100
2020-03-26,59
2020-03-27,77
2020-03-28,89
2020-03-29,91
2020-03-30,62
2020-03-31,55
2020-04-01,59
2020-04-02,61
2020-04-03,55
2020-04-04,64
2020-04-05,67
2020-04-06,55
2020-04-07,62
