Categoría: Religión y creencias

Semana,Oración: (Austria)
2018-12-30,48
2019-01-06,54
2019-01-13,64
2019-01-20,60
2019-01-27,56
2019-02-03,57
2019-02-10,67
2019-02-17,54
2019-02-24,52
2019-03-03,61
2019-03-10,60
2019-03-17,53
2019-03-24,57
2019-03-31,64
2019-04-07,60
2019-04-14,65
2019-04-21,59
2019-04-28,58
2019-05-05,90
2019-05-12,73
2019-05-19,62
2019-05-26,67
2019-06-02,68
2019-06-09,48
2019-06-16,63
2019-06-23,48
2019-06-30,50
2019-07-07,42
2019-07-14,39
2019-07-21,51
2019-07-28,42
2019-08-04,45
2019-08-11,42
2019-08-18,43
2019-08-25,42
2019-09-01,47
2019-09-08,55
2019-09-15,57
2019-09-22,57
2019-09-29,54
2019-10-06,51
2019-10-13,60
2019-10-20,55
2019-10-27,60
2019-11-03,59
2019-11-10,52
2019-11-17,52
2019-11-24,55
2019-12-01,55
2019-12-08,58
2019-12-15,53
2019-12-22,61
2019-12-29,60
2020-01-05,59
2020-01-12,54
2020-01-19,62
2020-01-26,57
2020-02-02,57
2020-02-09,47
2020-02-16,51
2020-02-23,57
2020-03-01,62
2020-03-08,62
2020-03-15,92
2020-03-22,95
2020-03-29,84
2020-04-05,100
