Categoría: Religión y creencias

Semana,Oración: (Irlanda)
2018-12-30,64
2019-01-06,67
2019-01-13,62
2019-01-20,66
2019-01-27,66
2019-02-03,65
2019-02-10,75
2019-02-17,68
2019-02-24,71
2019-03-03,77
2019-03-10,78
2019-03-17,72
2019-03-24,71
2019-03-31,77
2019-04-07,73
2019-04-14,79
2019-04-21,62
2019-04-28,74
2019-05-05,94
2019-05-12,68
2019-05-19,73
2019-05-26,61
2019-06-02,72
2019-06-09,65
2019-06-16,54
2019-06-23,50
2019-06-30,53
2019-07-07,51
2019-07-14,56
2019-07-21,54
2019-07-28,49
2019-08-04,52
2019-08-11,55
2019-08-18,56
2019-08-25,63
2019-09-01,55
2019-09-08,55
2019-09-15,59
2019-09-22,60
2019-09-29,64
2019-10-06,61
2019-10-13,58
2019-10-20,59
2019-10-27,51
2019-11-03,56
2019-11-10,60
2019-11-17,55
2019-11-24,51
2019-12-01,56
2019-12-08,56
2019-12-15,50
2019-12-22,59
2019-12-29,55
2020-01-05,61
2020-01-12,62
2020-01-19,68
2020-01-26,63
2020-02-02,59
2020-02-09,61
2020-02-16,60
2020-02-23,65
2020-03-01,68
2020-03-08,67
2020-03-15,88
2020-03-22,100
2020-03-29,91
2020-04-05,90
